Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
06/13/2019,2886,2900.5,2871.5,2898.5,13.5,+0.47%,523312,448119
06/12/2019,2891.25,2894.5,2879.25,2885,-6,-0.21%,117213,228005
06/11/2019,2894,2915.75,2883.5,2891,-2.25,-0.08%,66169,176082
06/10/2019,2896.75,2910,2884.5,2893.25,14.75,+0.51%,50835,159934
06/07/2019,2844,2889.75,2841.75,2878.5,29,+1.02%,36164,139392
06/06/2019,2824,2856.75,2816.75,2849.5,18.25,+0.64%,31661,132717
06/05/2019,2810,2833,2804.5,2831.25,22.75,+0.81%,30173,128042
06/04/2019,2758,2809.75,2747,2808.5,56,+2.03%,31998,120357
06/03/2019,2746,2767,2732.25,2752.5,-3.5,-0.13%,25983,111193
05/31/2019,2793.75,2794.75,2753.75,2756,-38.5,-1.38%,31171,112753
05/30/2019,2784,2803.25,2780.5,2794.5,10.25,+0.37%,13689,116945
05/29/2019,2807.25,2810.25,2770.25,2784.25,-25.25,-0.90%,17504,112217
05/28/2019,2836.5,2845.5,2805,2809.5,-27,-0.95%,10014,105026
05/24/2019,2826.5,2846.5,2824,2836.5,12.5,+0.44%,5670,101781
05/23/2019,2862.5,2863,2810.25,2824,-38.25,-1.34%,27014,101823
05/22/2019,2869.75,2874,2853.25,2862.25,-8.5,-0.30%,19908,83443
05/21/2019,2853.75,2875.25,2851,2870.75,22.5,+0.79%,5860,69071
05/20/2019,2871,2881,2837.25,2848.25,-18.25,-0.64%,4305,66835
05/17/2019,2884.75,2892.25,2857,2866.5,-16.75,-0.58%,3388,66589
05/16/2019,2858.5,2898.5,2819.5,2883.25,23.75,+0.83%,8786,65939
05/15/2019,2844,2862,2819.5,2859.5,15.75,+0.55%,4885,63469
05/14/2019,2809.75,2858.25,2804.5,2843.75,32.25,+1.15%,5245,62438
05/13/2019,2864.75,2873.5,2806.25,2811.5,-80.25,-2.78%,16497,60131
05/10/2019,2876.25,2897.75,2831,2891.75,14,+0.49%,8029,51277
05/09/2019,2887.5,2890,2841.5,2877.75,-14.5,-0.50%,6718,48964
05/08/2019,2895.5,2903.75,2874,2892.25,-3.5,-0.12%,8515,46292
05/07/2019,2918,2935.75,2867.75,2895.75,-42.25,-1.44%,7550,46272
05/06/2019,2927,2943.25,2889.5,2938,-15.5,-0.52%,9941,45430
05/03/2019,2926.5,2955,2922.5,2953.5,30.25,+1.03%,4037,46480
05/02/2019,2922.5,2938.25,2907,2923.25,-5.5,-0.19%,3956,43568
05/01/2019,2960.25,2967.75,2922.25,2928.75,-25.5,-0.86%,4292,42317
04/30/2019,2948.5,2962,2931.75,2954.25,5.5,+0.19%,1183,40051
04/29/2019,2946.25,2957,2944,2948.75,1.5,+0.05%,2896,39768
04/26/2019,2929,2948.25,2923.5,2947.25,15.25,+0.52%,2657,37643
04/25/2019,2936,2941,2920,2932,-4.5,-0.15%,2211,37015
04/24/2019,2943.75,2945.5,2933.75,2936.5,-7.5,-0.25%,1212,36105
04/23/2019,2917.5,2945.25,2914,2944,26,+0.89%,3957,35750
04/22/2019,2914.75,2920.75,2904.75,2918,2.5,+0.09%,1103,34089
04/18/2019,2907,2917,2895.5,2915.5,9.5,+0.33%,3095,33744
04/17/2019,2914.75,2929,2904.5,2906,-11,-0.38%,4913,31789
04/16/2019,2917.5,2926.5,2910.5,2917,2,+0.07%,3006,28337
04/15/2019,2919,2919.75,2906,2915,-3,-0.10%,4065,26157
04/12/2019,2897,2919.75,2896.5,2918,21.25,+0.73%,3230,22769
04/11/2019,2900.25,2905.25,2890.75,2896.75,-2.75,-0.09%,584,20229
04/10/2019,2887.75,2901,2883.5,2899.5,12,+0.42%,1281,20166
04/09/2019,2903,2904.75,2882.5,2887.5,-16,-0.55%,1112,19300
04/08/2019,2902.5,2904.5,2889.5,2903.5,2.25,+0.08%,848,19152
04/05/2019,2887.25,2902.75,2885.5,2901.25,13.75,+0.48%,1784,19117
04/04/2019,2885,2890.5,2876,2887.5,2.75,+0.10%,629,19085
04/03/2019,2873.25,2894,2870.75,2884.75,12.75,+0.44%,3679,18974
04/02/2019,2874.25,2878.5,2867.25,2872,-3.5,-0.12%,815,19258
04/01/2019,2848.75,2878,2848.75,2875.5,33,+1.16%,3652,19476
03/29/2019,2825.25,2845.75,2824.75,2842.5,17.25,+0.61%,5001,18350
03/28/2019,2811.5,2828,2799.5,2825.25,10.75,+0.38%,933,15796
03/27/2019,2826.5,2836,2796.5,2814.5,-13,-0.46%,2160,15737
03/26/2019,2813.5,2839.75,2810.75,2827.5,16.25,+0.58%,1614,15066
03/25/2019,2817.75,2822.5,2794,2811.25,-4.25,-0.15%,3397,14912
03/22/2019,2865.75,2869.5,2810.25,2815.5,-52,-1.81%,5668,13756
03/21/2019,2829,2870.75,2819.5,2867.5,35.5,+1.25%,1371,11062
03/20/2019,2841.5,2854.25,2822.5,2832,-9.5,-0.33%,2276,10954
03/19/2019,2847.75,2863.25,2834,2841.5,-4.25,-0.15%,1669,9904
03/18/2019,2831.25,2847,2828.75,2845.75,11,+0.39%,1044,9266
"Downloaded from Barchart.com as of 07-25-2021 08:07am CDT"
