Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
06/08/2006,1267,1272,1245.75,1266.25,-0.5,-0.04%,1813373,576559
06/07/2006,1276.25,1284.75,1265.75,1266.75,-9.75,-0.76%,218007,356435
06/06/2006,1280,1284,1266.25,1276.5,-3.75,-0.29%,55863,198478
06/05/2006,1299.5,1299.5,1276.75,1280.25,-18.75,-1.44%,47696,153066
06/02/2006,1296.5,1304.5,1292.25,1299,2.25,+0.17%,37789,110439
06/01/2006,1283.5,1298.25,1277.25,1296.75,13.75,+1.07%,9666,78341
05/31/2006,1271,1283.75,1267,1283,12.5,+0.98%,17981,74885
05/30/2006,1293.5,1294.75,1270,1270.5,-23,-1.78%,6554,62058
05/26/2006,1288,1294,1285,1293.5,6.75,+0.52%,5939,56714
05/25/2006,1272,1287,1268.75,1286.75,15.25,+1.20%,3032,51506
05/24/2006,1263.25,1277.25,1257.5,1271.5,8.5,+0.67%,12602,51578
05/23/2006,1274.75,1287.25,1263,1263,-9.5,-0.75%,12558,42732
05/22/2006,1284,1285,1266,1272.5,-9,-0.70%,13581,31254
05/19/2006,1274.75,1285.75,1269.5,1281.5,7.75,+0.61%,2009,22112
05/18/2006,1281,1288.5,1272.75,1273.75,-6,-0.47%,4603,21836
05/17/2006,1308,1310.75,1279.5,1279.75,-26.25,-2.01%,7796,19773
05/16/2006,1308,1312,1302.75,1306,-2.25,-0.17%,1196,12932
05/15/2006,1302,1309.5,1296.25,1308.25,3,+0.23%,3464,12118
05/12/2006,1322.5,1323.5,1305,1305.25,-17.75,-1.34%,6046,9014
05/11/2006,1338.5,1341.5,1318.75,1323,-16.25,-1.21%,2546,5421
05/10/2006,1339,1341,1333,1339.25,-1.5,-0.11%,1562,4053
05/09/2006,1338.25,1342,1337.5,1340.75,2.25,+0.17%,127,3994
05/08/2006,1342.75,1342.75,1338.5,1338.5,-1.75,-0.13%,588,4049
05/05/2006,1327.25,1342.25,1327.25,1340.25,12,+0.90%,266,3936
05/04/2006,1321.5,1330.75,1321.5,1328.25,4.75,+0.36%,747,3896
05/03/2006,1329,1329.75,1319.25,1323.5,-5.75,-0.43%,707,3722
05/02/2006,1312,1329.75,1312,1329.25,9.75,+0.74%,441,3477
05/01/2006,1329.75,1333.25,1318.25,1319.5,-7.5,-0.57%,1411,3554
04/28/2006,1325,1332.75,1322.25,1327,0.75,+0.06%,322,3573
04/27/2006,1322,1331.75,1312,1326.25,6,+0.45%,968,3574
04/26/2006,1320.75,1327.5,1319.25,1320.25,-0.25,-0.02%,890,3567
04/25/2006,1325,1327.75,1315.75,1320.5,-5,-0.38%,1000,2825
04/24/2006,1326,1327,1320.5,1325.5,-2.5,-0.19%,320,2519
04/21/2006,1329,1334.75,1323.5,1328,0,0.00%,538,2434
04/20/2006,1326.25,1335.5,1323.25,1328,1.5,+0.11%,436,2242
04/19/2006,1326.5,1329.25,1319.75,1326.5,2,+0.15%,265,2086
04/18/2006,1305,1326.5,1303.75,1324.5,20.75,+1.59%,284,1997
04/17/2006,1306.75,1310,1298,1303.75,-1.5,-0.11%,149,1951
04/13/2006,1305,1310.25,1301,1305.25,-1.25,-0.10%,174,1893
04/12/2006,1305,1308.5,1303.75,1306.5,1.5,+0.11%,381,1817
04/11/2006,1315.75,1318.75,1300.5,1305,-11.5,-0.87%,445,1918
04/10/2006,1314.25,1319.75,1311.75,1316.5,1.5,+0.11%,97,1710
04/07/2006,1328.5,1334.5,1312.25,1315,-13.5,-1.02%,267,1693
04/06/2006,1325.5,1331.75,1321.25,1328.5,-1.5,-0.11%,222,1622
04/05/2006,1324.75,1331.75,1323.5,1330,4.25,+0.32%,156,1513
04/04/2006,1318.25,1327,1313.75,1325.75,9,+0.68%,210,1468
04/03/2006,1319.75,1328.75,1315.75,1316.75,2.75,+0.21%,483,1467
03/31/2006,1321,1322.25,1314,1314,-4.25,-0.32%,861,1323
03/30/2006,1330,1330,1316,1318.25,-2.5,-0.19%,338,917
03/29/2006,1315,1325.5,1313.5,1320.75,7.75,+0.59%,183,777
03/28/2006,1321,1326,1311.25,1313,-8.5,-0.64%,103,716
03/27/2006,1322.25,1324.5,1318.75,1321.5,-2,-0.15%,64,706
03/24/2006,1320.75,1326.5,1318.5,1323.5,1,+0.08%,50,682
03/23/2006,1326.5,1326.5,1317.5,1322.5,-2.75,-0.21%,328,681
03/22/2006,1317,1326.75,1316,1325.25,7.25,+0.55%,355,461
03/21/2006,1325.75,1331.75,1316.75,1318,-8,-0.60%,287,243
03/20/2006,1326.5,1330.5,1325,1326,-2,-0.15%,66,41
"Downloaded from Barchart.com as of 07-25-2021 08:00am CDT"
