Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
06/10/2010,1050.75,1083.5,1047.75,1079.5,28.25,+2.69%,1928796,1116027
06/09/2010,1055.5,1073,1047.25,1051.25,-3.75,-0.36%,364444,550208
06/08/2010,1043.25,1059,1037,1055,11.25,+1.08%,139432,307123
06/07/2010,1059.5,1066.5,1043.25,1043.75,-18,-1.70%,86084,223882
06/04/2010,1099.25,1102.75,1055.25,1061.75,-37.5,-3.41%,62763,181201
06/03/2010,1093.75,1100.75,1086.75,1099.25,6.75,+0.62%,77343,160787
06/02/2010,1064,1094,1062.5,1092.5,27.25,+2.56%,20788,109561
06/01/2010,1088,1091.5,1064.25,1065.25,-19,-1.75%,18177,103263
05/28/2010,1095.5,1102.75,1079.25,1084.25,-12.5,-1.14%,21138,100290
05/27/2010,1056,1098.5,1045,1096.75,39.75,+3.76%,37691,96776
05/26/2010,1070.75,1086.25,1056.75,1057,-12,-1.12%,22696,80575
05/25/2010,1064,1070,1032.75,1069,2.25,+0.21%,31958,75646
05/24/2010,1080.25,1084.5,1066,1066.75,-13.75,-1.27%,7293,62252
05/21/2010,1063.25,1084,1047.75,1080.5,14.75,+1.38%,8272,60587
05/20/2010,1109,1112.5,1063.5,1065.75,-39.75,-3.60%,8458,56905
05/19/2010,1112.5,1118,1094.75,1105.5,-9,-0.81%,4422,54762
05/18/2010,1130.75,1142.75,1111.5,1114.5,-15.75,-1.39%,5550,53667
05/17/2010,1128,1135.5,1108.75,1130.25,-0.75,-0.07%,11001,52301
05/14/2010,1151.75,1154.5,1119.5,1131,-21.5,-1.87%,3901,49801
05/13/2010,1165,1170,1150,1152.5,-12.75,-1.09%,4038,48262
05/12/2010,1146.75,1166.75,1137,1165.25,17.5,+1.52%,4291,46641
05/11/2010,1151.75,1164.25,1136.25,1147.75,-4.25,-0.37%,10540,46709
05/10/2010,1124.25,1157.5,1117.75,1152,49.25,+4.47%,6642,37800
05/07/2010,1119.75,1129.75,1086.75,1102.75,-15.25,-1.36%,12477,35587
05/06/2010,1159.75,1164,1050,1118,-41.5,-3.58%,7490,28584
05/05/2010,1166,1170.25,1150.75,1159.5,-8.5,-0.73%,4160,26557
05/04/2010,1192.5,1194.75,1160,1168,-26,-2.18%,5013,26444
05/03/2010,1182.75,1197.25,1179.25,1194,15.25,+1.29%,1243,23868
04/30/2010,1199.5,1203.25,1178.25,1178.75,-22,-1.83%,3425,23682
04/29/2010,1185.5,1201.5,1183.5,1200.75,15.25,+1.29%,845,22511
04/28/2010,1175.75,1187,1172.5,1185.5,9,+0.76%,3757,22360
04/27/2010,1203,1205,1173.25,1176.5,-27,-2.24%,1996,21749
04/26/2010,1205.75,1211.25,1203.25,1203.5,-4,-0.33%,1269,20983
04/23/2010,1197.25,1209,1193.25,1207.5,10.5,+0.88%,905,21164
04/22/2010,1190,1202,1182,1197,1.25,+0.10%,1456,21121
04/21/2010,1201,1204.25,1190.25,1195.75,-4.75,-0.40%,1753,20751
04/20/2010,1191.5,1200.5,1189.5,1200.5,9.75,+0.82%,6151,19799
04/19/2010,1181.5,1191.25,1175.75,1190.75,5.25,+0.44%,2611,15395
04/16/2010,1201.25,1202,1178,1185.5,-18.25,-1.52%,2312,13459
04/15/2010,1202.5,1205.5,1196.5,1203.75,2,+0.17%,1891,12375
04/14/2010,1190.5,1202,1190,1201.75,13.5,+1.14%,399,11484
04/13/2010,1185,1190.25,1180.5,1188.25,0.5,+0.04%,463,11460
04/12/2010,1189,1192.75,1186.25,1187.75,0,0.00%,465,11527
04/09/2010,1178.5,1187.75,1178.25,1187.75,9,+0.76%,2719,11848
04/08/2010,1173.75,1179.75,1166.5,1178.75,4.75,+0.40%,867,10219
04/07/2010,1180,1181,1168.5,1174,-7,-0.59%,3403,9795
04/06/2010,1178.5,1182.75,1172.25,1181,2.75,+0.23%,2147,8325
04/05/2010,1173.75,1178.75,1170,1178.25,9.5,+0.81%,1922,6987
04/02/2010,1169,1174,1165.75,1168.75,0,0.00%,340,6066
04/01/2010,1162.5,1172.5,1161.25,1168.75,8.5,+0.73%,518,6068
03/31/2010,1164.25,1165.5,1156.75,1160.25,-4.25,-0.36%,600,6013
03/30/2010,1165,1168.75,1159.75,1164.5,0.5,+0.04%,1096,5888
03/29/2010,1160.5,1166,1159.5,1164,5.25,+0.45%,1138,5454
03/26/2010,1156.5,1164.5,1152,1158.75,0.75,+0.06%,2346,5373
03/25/2010,1159,1171.25,1156,1158,-1.75,-0.15%,1313,4921
03/24/2010,1164.5,1165.25,1156.5,1159.75,-5,-0.43%,1178,4129
03/23/2010,1158.5,1165.25,1154.5,1164.75,7.5,+0.65%,2315,3723
03/22/2010,1144.5,1158.25,1142.5,1157.25,5.75,+0.50%,746,2437
03/19/2010,1156,1160,1146,1151.5,-5,-0.43%,253,2213
03/18/2010,1158.75,1159.75,1152.5,1156.5,0.5,+0.04%,166,2122
03/17/2010,1153.5,1159.75,1152.25,1156,6,+0.52%,136,2076
03/16/2010,1142,1154.5,1137.75,1150,9.25,+0.81%,228,2047
03/15/2010,1139.5,1140.75,1132.25,1140.75,-1,-0.09%,37,1865
"Downloaded from Barchart.com as of 07-25-2021 08:02am CDT"
