Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
06/07/2012,1308.75,1323,1305.25,1310,1,+0.08%,989978,787312
06/06/2012,1278.75,1309.25,1276.5,1309,30.5,+2.39%,238673,405005
06/05/2012,1266,1280,1260.75,1278.5,12.25,+0.97%,108849,235101
06/04/2012,1267.25,1274.75,1255.5,1266.25,-1,-0.08%,74542,158933
06/01/2012,1300.25,1301,1267,1267.25,-35.25,-2.71%,50952,122063
05/31/2012,1302.5,1312,1291,1302.5,0.5,+0.04%,21826,89473
05/30/2012,1327.5,1327.75,1301.5,1302,-25,-1.88%,7947,77698
05/29/2012,1312.25,1327.75,1312,1327,18.5,+1.41%,13395,74426
05/25/2012,1316,1323.5,1305.5,1308.5,-7.5,-0.57%,4311,65600
05/24/2012,1308.25,1317,1300,1316,6.75,+0.52%,8241,65353
05/23/2012,1308,1312.5,1287.75,1309.25,0.75,+0.06%,14867,61413
05/22/2012,1308.25,1320,1301.5,1308.5,-0.75,-0.06%,8330,51197
05/21/2012,1284.75,1309.5,1281.5,1309.25,24.75,+1.93%,5222,45734
05/18/2012,1295.75,1303.75,1283.25,1284.5,-10.5,-0.81%,6783,42955
05/17/2012,1317.25,1324.25,1294.5,1295,-21,-1.60%,6523,38792
05/16/2012,1323,1333.25,1314.5,1316,-5.75,-0.44%,4553,35782
05/15/2012,1327.25,1340,1319.5,1321.75,-6,-0.45%,3173,33358
05/14/2012,1339.75,1344.25,1327,1327.75,-15.75,-1.17%,1372,32285
05/11/2012,1350.75,1356,1338.25,1343.5,-7.75,-0.57%,1404,32211
05/10/2012,1342.75,1356.75,1341.5,1351.25,6.75,+0.50%,1294,32229
05/09/2012,1351.5,1353,1333,1344.5,-7.5,-0.55%,5166,32053
05/08/2012,1359.5,1360.5,1337.5,1352,-7.5,-0.55%,1661,30303
05/07/2012,1348,1363.5,1337.5,1359.5,3.5,+0.26%,1197,30400
05/04/2012,1380.5,1385,1355.5,1356,-23.5,-1.70%,1679,30335
05/03/2012,1391.25,1395.75,1378.25,1379.5,-11.5,-0.83%,2760,29958
05/02/2012,1394,1397.25,1383.5,1391,-3,-0.22%,1400,29020
05/01/2012,1389,1405,1385,1394,6.75,+0.49%,1391,28798
04/30/2012,1394.75,1395.75,1383.5,1387.25,-4.75,-0.34%,1366,29223
04/27/2012,1390,1396.25,1381,1392,1.5,+0.11%,2317,28177
04/26/2012,1380,1391.5,1375,1390.5,9.75,+0.71%,1707,26944
04/25/2012,1365,1381,1364.5,1380.75,17,+1.25%,2590,26210
04/24/2012,1357.75,1364.25,1354.5,1363.75,7.25,+0.53%,4802,25160
04/23/2012,1367,1367.75,1348,1356.5,-12.5,-0.91%,2607,23474
04/20/2012,1367.5,1376.5,1366,1369,2.75,+0.20%,818,21769
04/19/2012,1373.5,1383,1359.25,1366.25,-5.75,-0.42%,1303,21711
04/18/2012,1377,1380,1372,1372,-5.5,-0.40%,1182,21082
04/17/2012,1359.25,1382.25,1354,1377.5,19.75,+1.45%,1502,20385
04/16/2012,1358,1368.5,1354.75,1357.75,-1,-0.07%,390,19243
04/13/2012,1379,1381.75,1357.75,1358.75,-21,-1.52%,980,19273
04/12/2012,1359.75,1379.75,1357,1379.75,22,+1.62%,812,18833
04/11/2012,1353,1364,1352.75,1357.75,6.75,+0.50%,2590,18532
04/10/2012,1369.25,1374,1346.25,1351,-17.75,-1.30%,869,16599
04/09/2012,1370,1376,1367,1368.75,-15.25,-1.10%,770,16599
04/06/2012,1384.5,1388.25,1366.25,1384,0,0.00%,478,16222
04/05/2012,1386.5,1391,1378.75,1384,-3,-0.22%,1232,16280
04/04/2012,1402.5,1402.5,1382.75,1387,-15.75,-1.12%,881,15826
04/03/2012,1406,1407.5,1394,1402.75,-3.75,-0.27%,1156,15242
04/02/2012,1400.25,1411.5,1393.5,1406.5,9.5,+0.68%,2766,15039
03/30/2012,1392.5,1400,1390,1397,5,+0.36%,231,12961
03/29/2012,1393.5,1397.25,1380.5,1392,-2,-0.14%,840,12964
03/28/2012,1399.5,1404.75,1387,1394,-6,-0.43%,4712,12951
03/27/2012,1408.5,1413.5,1400,1400,-9,-0.64%,2904,9346
03/26/2012,1386.75,1409,1386.75,1409,21,+1.51%,2023,7592
03/23/2012,1383,1388.5,1375.25,1388,5.5,+0.40%,2349,6454
03/22/2012,1393.5,1394,1377,1382.5,-8.75,-0.63%,1807,4363
03/21/2012,1394,1399.25,1390,1391.25,-2.5,-0.18%,1792,2873
03/20/2012,1397.75,1398.25,1385.5,1393.75,-4,-0.29%,133,1332
03/19/2012,1394.75,1401.5,1388.25,1397.75,5.25,+0.38%,1004,1340
03/16/2012,1389.75,1394.25,1389,1392.5,2.5,+0.18%,251,786
03/15/2012,1383.5,1391,1382.5,1390,7.25,+0.52%,141,582
03/14/2012,1381,1387.75,1380.75,1382.75,-2,-0.14%,369,544
03/13/2012,1361,1385,1361,1384.75,24,+1.76%,187,620
03/12/2012,1357.75,1360.75,1356,1360.75,0,0.00%,55,544
"Downloaded from Barchart.com as of 07-25-2021 08:03am CDT"
