Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
06/10/2021,4212.75,4239.5,4197.25,4228.75,19.75,+0.47%,501508,524384
06/09/2021,4215.25,4225.75,4207.5,4209,-7.25,-0.17%,123498,255882
06/08/2021,4217.5,4227,4196.5,4216.25,0.5,+0.01%,106636,180183
06/07/2021,4222,4222.5,4204.25,4215.75,-2.5,-0.06%,44449,117614
06/04/2021,4184,4221.75,4167.25,4218.25,37,+0.88%,21270,94955
06/03/2021,4196.5,4203,4155.25,4181.25,-15,-0.36%,13174,85214
06/02/2021,4185.25,4204.75,4181,4196.25,7.75,+0.19%,15353,81725
06/01/2021,4195.75,4220,4180.75,4188.5,-4,-0.10%,14813,74734
05/28/2021,4201.75,4207.5,4191.75,4192.5,3.5,+0.08%,3250,70870
05/27/2021,4183,4200.5,4168,4189,6,+0.14%,7178,69046
05/26/2021,4178.5,4194.5,4170.75,4183,7.5,+0.18%,5281,64574
05/25/2021,4188.75,4202.25,4169.75,4175.5,-8.5,-0.20%,5080,59935
05/24/2021,4142,4196,4133.5,4184,42.25,+1.02%,3941,57346
05/21/2021,4142.75,4174.25,4137.5,4141.75,-2.5,-0.06%,5604,54896
05/20/2021,4100.5,4159,4075,4144.25,42.5,+1.04%,4349,50573
05/19/2021,4105.5,4112.5,4046,4101.75,-11.5,-0.28%,4941,47587
05/18/2021,4148,4169,4102.5,4113.25,-34.75,-0.84%,3384,44697
05/17/2021,4162,4168,4127.25,4148,-11,-0.26%,3012,42456
05/14/2021,4100.5,4168,4096,4159,61.75,+1.51%,4093,40404
05/13/2021,4049.5,4116.5,4020,4097.25,48.5,+1.20%,11941,37983
05/12/2021,4131.5,4140,4041.5,4048.75,-87.5,-2.12%,4859,29733
05/11/2021,4168.25,4175.75,4094.5,4136.25,-37.25,-0.89%,3556,27265
05/10/2021,4218,4228.25,4162.5,4173.5,-42,-1.00%,2747,25546
05/07/2021,4187.5,4223.25,4182.25,4215.5,31,+0.74%,2545,23978
05/06/2021,4150,4186.5,4131,4184.5,34.5,+0.83%,5186,22908
05/05/2021,4148,4170,4143.75,4150,1.5,+0.04%,2641,19460
05/04/2021,4173.5,4174.5,4111.25,4148.5,-27.5,-0.66%,7283,17753
05/03/2021,4174.5,4192,4171.75,4176,11.5,+0.28%,3467,13204
04/30/2021,4190.25,4192.25,4158,4164.5,-29,-0.69%,1571,10673
04/29/2021,4175,4201.25,4158.5,4193.5,27,+0.65%,2728,10052
04/28/2021,4171.5,4183.75,4163.5,4166.5,-2.5,-0.06%,1691,9442
04/27/2021,4171,4181.25,4157,4169,-0.5,-0.01%,1183,9198
04/26/2021,4161,4175.75,4154.5,4169.5,8,+0.19%,988,8931
04/23/2021,4119.25,4176.25,4118,4161.5,43.75,+1.06%,2294,8641
04/22/2021,4148.5,4161.25,4105.75,4117.75,-37,-0.89%,1363,7797
04/21/2021,4112.5,4156.75,4103.5,4154.75,38.25,+0.93%,1002,7613
04/20/2021,4147.25,4157.25,4101,4116.5,-29,-0.70%,1246,7336
04/19/2021,4156,4164.25,4132.25,4145.5,-20.75,-0.50%,623,7063
04/16/2021,4150.75,4173.5,4144.25,4166.25,13.75,+0.33%,661,6899
04/15/2021,4112.75,4156.25,4110,4152.5,44.5,+1.08%,719,6869
04/14/2021,4123.25,4133.5,4103.5,4108,-14.75,-0.36%,1798,6823
04/13/2021,4110.5,4129,4091.75,4122.75,12.5,+0.30%,413,6542
04/12/2021,4104,4113.5,4094.75,4110.25,0.75,+0.02%,908,6534
04/09/2021,4085,4110.75,4071.75,4109.5,30.5,+0.75%,640,6480
04/08/2021,4065,4088.25,4063.25,4079,19.25,+0.47%,896,6219
04/07/2021,4059.25,4065,4046.25,4059.75,6,+0.15%,624,5953
04/06/2021,4060,4065.5,4042.75,4053.75,-3.75,-0.09%,1029,5984
04/05/2021,4019.75,4064.25,4011,4057.5,58,+1.45%,892,5461
04/01/2021,3958,4004.25,3955,3999.5,42.25,+1.07%,1805,5331
03/31/2021,3935.75,3973.5,3932,3957.25,19.75,+0.50%,1290,4257
03/30/2021,3956.5,3957.75,3924,3937.5,-11.25,-0.28%,626,3723
03/29/2021,3952.75,3960.75,3919.25,3948.75,-6,-0.15%,998,3624
03/26/2021,3898,3957,3890.5,3954.75,64.25,+1.65%,1194,3513
03/25/2021,3875.75,3899,3833.75,3890.5,19.75,+0.51%,2249,3219
03/24/2021,3893.25,3921,3868.25,3870.75,-19,-0.49%,1022,2299
03/23/2021,3925,3928.25,3881.25,3889.75,-30.5,-0.78%,840,2208
03/22/2021,3880.25,3934,3875.25,3920.25,30.5,+0.78%,798,2005
03/19/2021,3905.25,3913,3866,3889.75,-6.25,-0.16%,1097,1908
03/18/2021,3957.5,3968,3891,3896,-57.5,-1.45%,1288,1620
03/17/2021,3950,3963,3915.25,3953.5,11.25,+0.29%,343,1275
03/16/2021,3942.25,3960,3933.25,3942.25,-6,-0.15%,686,1277
03/15/2021,3929.5,3950,3903.25,3948.25,25.75,+0.66%,380,1079
"Downloaded from Barchart.com as of 07-25-2021 08:09am CDT"
