Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
06/07/2001,1281.5,1289.75,1275.75,1286.75,2.5,+0.19%,114030,20686
06/06/2001,1294.5,1298.5,1279.75,1284.25,-10.5,-0.81%,11244,11314
06/05/2001,1277,1298.5,1275.25,1294.75,15.5,+1.21%,506,706
06/04/2001,1277,1280,1268,1279.25,4.25,+0.33%,394,432
06/01/2001,1262.75,1277.5,1258.25,1275,7.5,+0.59%,202,247
05/31/2001,1263.75,1273.75,1260.25,1267.5,7.5,+0.60%,141,149
05/30/2001,1272,1276.75,1257.75,1260,-18.75,-1.47%,72,94
05/29/2001,1288,1298.25,1277.5,1278.75,-10.75,-0.83%,23,91
05/25/2001,1305,1307,1288.5,1289.5,-15.5,-1.19%,66,84
05/24/2001,1300,1310,1295,1305,4,+0.31%,25,59
05/23/2001,1313.5,1313.5,1300.75,1301,-22.75,-1.72%,9,44
05/22/2001,1329,1335,1323.75,1323.75,-1.75,-0.13%,6,34
05/21/2001,1303,1327.75,1303,1325.5,19.5,+1.49%,16,30
05/18/2001,1305,1306,1297.75,1306,4,+0.31%,4,25
05/17/2001,1302,1314.75,1297.5,1302,3.25,+0.25%,16,24
05/16/2001,1257.5,1298.75,1257.25,1298.75,31.25,+2.47%,3,25
05/15/2001,1267.5,1268,1262,1267.5,5.25,+0.42%,0,24
05/14/2001,1256,1262.25,1255,1262.25,0,0.00%,3,24
05/11/2001,1260.5,1262.25,1256.75,1262.25,-9.5,-0.75%,3,23
05/10/2001,1271,1282.25,1265,1271.75,4,+0.32%,8,23
05/09/2001,1273,1273,1264.25,1267.75,-6,-0.47%,1,19
05/08/2001,1280,1281,1273.75,1273.75,0,0.00%,4,19
05/07/2001,1279.25,1279.25,1273.75,1273.75,-9.75,-0.76%,2,16
05/04/2001,1254,1283.5,1253.75,1283.5,18.5,+1.46%,10,15
05/03/2001,1266.5,1266.5,1258,1265,-17,-1.33%,3,17
05/02/2001,1283,1284,1274.75,1282,-1.5,-0.12%,15,26
05/01/2001,1283.5,1283.5,1263,1283.5,18.25,+1.44%,0,8
04/30/2001,1265.25,1280,1265.25,1265.25,-4.25,-0.33%,0,8
04/27/2001,1269.5,1269.5,1269.5,1269.5,18.5,+1.48%,0,8
04/26/2001,1251,1251,1251,1251,8.5,+0.68%,0,8
04/25/2001,1237,1242.5,1237,1242.5,15.5,+1.26%,1,8
04/24/2001,1227,1227,1227,1227,-9.5,-0.77%,0,7
04/23/2001,1237,1237,1236.5,1236.5,-25.25,-2.00%,0,0
04/20/2001,1261.75,1261.75,1261.75,1261.75,-8,-0.63%,3,7
04/19/2001,1257,1271,1257,1269.75,12.5,+0.99%,3,7
04/18/2001,1226,1265,1226,1257.25,50.5,+4.18%,4,8
04/17/2001,1196,1211,1196,1206.75,13.5,+1.13%,2,6
04/16/2001,1193.25,1193.25,1190,1193.25,-10.25,-0.85%,0,7
04/12/2001,1182.5,1203.5,1177.5,1203.5,19.25,+1.63%,4,7
04/11/2001,1184.25,1195,1182.5,1184.25,1.5,+0.13%,0,0
04/10/2001,1190,1190,1182.75,1182.75,22.5,+1.94%,3,6
04/09/2001,1153,1160.25,1150,1160.25,10,+0.87%,1,5
04/06/2001,1140,1150.25,1140,1150.25,-15.25,-1.31%,3,4
04/05/2001,1165.5,1165.5,1165.5,1165.5,43,+3.83%,0,1
04/04/2001,1122.5,1128,1116,1122.5,3.75,+0.34%,0,1
04/03/2001,1118.75,1118.75,1118.75,1118.75,-42.25,-3.64%,0,1
04/02/2001,1161,1161,1161,1161,-19,-1.61%,0,1
03/30/2001,1180,1180,1180,1180,7.5,+0.64%,0,1
03/29/2001,1172.5,1172.5,1172.5,1172.5,2,+0.17%,0,1
03/28/2001,1170.5,1170.5,1170.5,1170.5,-30.75,-2.56%,0,1
03/27/2001,1201.25,1201.25,1201.25,1201.25,23.25,+1.97%,0,1
03/26/2001,1178,1178,1178,1178,14,+1.20%,0,1
03/23/2001,1164,1164,1164,1164,34.25,+3.03%,0,1
03/22/2001,1129.75,1129.75,1109.25,1129.75,-12.75,-1.12%,0,1
03/21/2001,1142.5,1142.5,1142.5,1142.5,-21,-1.80%,0,1
03/20/2001,1183,1193.25,1163.5,1163.5,-28.5,-2.39%,4,1
03/19/2001,1170,1194,1166,1192,19,+1.62%,5,5
"Downloaded from Barchart.com as of 07-25-2021 07:57am CDT"
