Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
06/07/2018,2777.5,2783.5,2763.75,2776,0,0.00%,777094,682262
06/06/2018,2755.5,2778.5,2752,2776,20.5,+0.74%,220257,328629
06/05/2018,2750,2757.25,2743,2755.5,5.75,+0.21%,62254,245027
06/04/2018,2736.75,2753.75,2733.25,2749.75,11.5,+0.42%,37632,225089
06/01/2018,2711.25,2741,2710.5,2738.25,28.5,+1.05%,26058,207081
05/31/2018,2724.75,2732.5,2703.75,2709.75,-19.25,-0.71%,33533,194415
05/30/2018,2697.75,2733.25,2690,2729,32.5,+1.21%,25650,178202
05/29/2018,2731.75,2736.5,2679.25,2696.5,-26.25,-0.96%,18028,163807
05/25/2018,2732.25,2742,2718.25,2722.75,-9.25,-0.34%,7434,158364
05/24/2018,2734.5,2738.75,2710.25,2732,-3.5,-0.13%,23097,155232
05/23/2018,2729.5,2737.5,2709.75,2735.5,4.5,+0.16%,20519,141510
05/22/2018,2736.25,2746.75,2726.25,2731,-6.75,-0.25%,13362,128302
05/21/2018,2733.25,2744,2729.75,2737.75,20,+0.74%,9758,121066
05/18/2018,2721,2731.25,2712.75,2717.75,-5.75,-0.21%,15049,114749
05/17/2018,2726.25,2736.25,2715.75,2723.5,-4,-0.15%,6823,105707
05/16/2018,2715.75,2732,2708.75,2727.5,14.25,+0.53%,8294,103423
05/15/2018,2733.75,2735,2705,2713.25,-22,-0.80%,8870,102396
05/14/2018,2733,2745.25,2728.75,2735.25,1.75,+0.06%,10144,101851
05/11/2018,2721.25,2736.5,2721,2733.5,10.75,+0.39%,5852,99192
05/10/2018,2701.25,2729,2697.5,2722.75,22.5,+0.83%,7860,98897
05/09/2018,2673,2704,2671,2700.25,26,+0.97%,2776,99363
05/08/2018,2672,2678.25,2656.75,2674.25,0,0.00%,4043,102574
05/07/2018,2667,2686,2666.25,2674.25,6.75,+0.25%,7600,103336
05/04/2018,2637.5,2673.5,2616.5,2667.5,31.5,+1.19%,6197,101214
05/03/2018,2630.75,2640,2595.75,2636,4.25,+0.16%,17407,100147
05/02/2018,2659.75,2662.75,2628.75,2631.75,-24.75,-0.93%,5950,91727
05/01/2018,2654.5,2661.75,2627.75,2656.5,5,+0.19%,3416,90865
04/30/2018,2678,2686,2649.25,2651.5,-24.25,-0.91%,7123,91216
04/27/2018,2679.5,2680.5,2662,2675.75,-3.25,-0.12%,3120,93787
04/26/2018,2653,2681.75,2644.5,2679,29.75,+1.12%,8714,93668
04/25/2018,2638.5,2652.25,2615.75,2649.25,9.75,+0.37%,10557,94752
04/24/2018,2677.5,2693,2620.75,2639.5,-36.5,-1.36%,10553,94558
04/23/2018,2687.75,2689.25,2661.75,2676,-0.5,-0.02%,11513,92735
04/20/2018,2699,2702.75,2664.5,2676.5,-21.5,-0.80%,11359,90036
04/19/2018,2716.5,2717.5,2686.5,2698,-16.5,-0.61%,22463,85470
04/18/2018,2709.5,2722.75,2708.25,2714.5,3.25,+0.12%,7295,85271
04/17/2018,2686,2718.5,2683.75,2711.25,25,+0.93%,6342,86883
04/16/2018,2676.5,2691.5,2665.5,2686.25,24.5,+0.92%,3952,85786
04/13/2018,2665.5,2684.25,2649,2661.75,-6.5,-0.24%,6287,85062
04/12/2018,2647.25,2679,2644.5,2668.25,23,+0.87%,4662,85412
04/11/2018,2658,2665.25,2630.5,2645.25,-14,-0.53%,3353,84754
04/10/2018,2621.5,2670.25,2616.5,2659.25,36.25,+1.38%,4706,84462
04/09/2018,2613,2657.25,2613,2623,13,+0.50%,10932,84533
04/06/2018,2666.25,2667.5,2588.25,2610,-56,-2.10%,14135,81272
04/05/2018,2650.5,2676,2648.25,2666,15,+0.57%,9843,81064
04/04/2018,2616.5,2653.75,2563.5,2651,33.75,+1.29%,8283,79005
04/03/2018,2586.5,2622.25,2578,2617.25,38.25,+1.48%,20221,77232
04/02/2018,2639,2645.75,2556.75,2579,-68.75,-2.60%,7456,68892
03/29/2018,2615,2664,2606,2647.75,35.5,+1.36%,6649,65324
03/28/2018,2615.25,2638,2597.25,2612.25,-8,-0.31%,7373,62020
03/27/2018,2665,2684.25,2600.75,2620.25,-44.25,-1.66%,8222,59939
03/26/2018,2600.75,2667.5,2596.5,2664.5,62,+2.38%,12685,56806
03/23/2018,2649.5,2664,2590,2602.5,-46,-1.74%,13692,49769
03/22/2018,2724.25,2733,2647,2648.5,-76.25,-2.80%,20303,44085
03/21/2018,2731,2750,2719.75,2724.75,-5.5,-0.20%,6400,29757
03/20/2018,2726.5,2735.75,2719,2730.25,1,+0.04%,2181,25407
03/19/2018,2763,2763,2703.25,2729.25,-33.75,-1.22%,4865,24520
03/16/2018,2765.75,2772.25,2757.5,2763,0.75,+0.03%,1070,23249
03/15/2018,2762,2773.5,2751.25,2762.25,1.5,+0.05%,5544,23721
03/14/2018,2770.25,2789.75,2755.5,2760.75,-18.75,-0.67%,1844,19456
03/13/2018,2794.25,2814,2769.75,2779.5,-16.75,-0.60%,4680,18195
03/12/2018,2800,2812.25,2791.75,2796.25,0,0.00%,2962,16994
"Downloaded from Barchart.com as of 07-25-2021 08:07am CDT"
