Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
03/11/2010,1145.25,1151,1138.5,1150.5,4.75,+0.41%,1642010,2171812
03/10/2010,1140,1148,1137.75,1145.75,5.25,+0.46%,2112662,2587207
03/09/2010,1137.25,1145.25,1131.5,1140.5,3.5,+0.31%,1759468,2732028
03/08/2010,1136.25,1140.5,1135,1137,0.5,+0.04%,1179723,2767605
03/05/2010,1122,1138.75,1121.5,1136.5,14.25,+1.27%,1869074,2784520
03/04/2010,1118.25,1123.5,1114,1122.25,3.75,+0.34%,1490362,2751134
03/03/2010,1117.5,1125,1115,1118.5,1,+0.09%,1583814,2800091
03/02/2010,1114.25,1122.75,1112.75,1117.5,3,+0.27%,1502795,2775511
03/01/2010,1105.5,1115.5,1104.25,1114.5,11,+1.00%,1615001,2816032
02/26/2010,1102,1107.75,1096.25,1103.5,1.25,+0.11%,1944020,2819976
02/25/2010,1103,1103.5,1084.5,1102.25,-1.25,-0.11%,2697610,2830299
02/24/2010,1096.75,1105.5,1092.5,1103.5,6.25,+0.57%,1882885,2805411
02/23/2010,1107,1112.75,1090.25,1097.25,-10.25,-0.93%,2224420,2796410
02/22/2010,1106,1112.75,1103.5,1107.5,1.25,+0.11%,1317880,2759021
02/19/2010,1105.5,1111,1092.5,1106.25,0.75,+0.07%,2096659,2749477
02/18/2010,1099.75,1106.75,1093,1105.5,6,+0.55%,1832739,2804518
02/17/2010,1093.25,1100,1092.5,1099.5,6.25,+0.57%,1669958,2803301
02/16/2010,1077.5,1094,1073.5,1093.25,14.25,+1.32%,1761523,2795293
02/12/2010,1076.25,1079.75,1060,1079,2.5,+0.23%,2747993,2837310
02/11/2010,1063.5,1078,1057.5,1076.5,13.25,+1.25%,2262497,2826210
02/10/2010,1066.5,1072.5,1056.25,1063.25,-3,-0.28%,2204772,2813255
02/09/2010,1055.5,1077,1054,1066.25,10.25,+0.97%,3014475,2810384
02/08/2010,1062,1068.5,1053,1056,-3.75,-0.35%,2061320,2795324
02/05/2010,1061.75,1065,1040.75,1059.75,-2,-0.19%,3983950,2752149
02/04/2010,1096.25,1098.25,1059.25,1061.75,-34.75,-3.17%,3302110,2733407
02/03/2010,1097,1100.25,1090.5,1096.5,-0.75,-0.07%,1883815,2684501
02/02/2010,1086,1101.5,1082,1097.25,11,+1.01%,2104398,2693741
02/01/2010,1070,1086.5,1068,1086.25,15.75,+1.47%,1896011,2619197
01/29/2010,1081,1093.25,1066.5,1070.5,-8.75,-0.81%,3068079,2638822
01/28/2010,1094.5,1103.5,1074.75,1079.25,-15.25,-1.39%,3052088,2613642
01/27/2010,1087.5,1096.25,1078.5,1094.5,7.25,+0.67%,2634603,2625603
01/26/2010,1094,1100,1081,1087.25,-5.25,-0.48%,2449263,2620022
01/25/2010,1094,1103,1089.75,1092.5,1.5,+0.14%,2080292,2589797
01/22/2010,1109.75,1115.75,1086.25,1091,-20,-1.80%,3544446,2615680
01/21/2010,1134.5,1139.25,1110.25,1111,-23,-2.03%,3438955,2536905
01/20/2010,1145,1146.5,1125.25,1134,-11.75,-1.03%,2391710,2482172
01/19/2010,1131.75,1147,1126.25,1145.75,13.5,+1.19%,1927993,2472206
01/15/2010,1146.75,1147.25,1127.5,1132.25,-13,-1.14%,2059496,2454453
01/14/2010,1141.5,1147,1138.25,1145.25,3.75,+0.33%,1355731,2473392
01/13/2010,1134.25,1145.25,1129.25,1141.5,7.5,+0.66%,2131642,2475322
01/12/2010,1141.25,1143,1127.75,1134,-8.5,-0.74%,2117166,2439036
01/11/2010,1141.75,1148,1137.75,1142.5,1,+0.09%,1456443,2427453
01/08/2010,1137.25,1141.75,1131,1141.5,4,+0.35%,1527666,2420194
01/07/2010,1133,1138.75,1127,1137.5,4.5,+0.40%,1567025,2406352
01/06/2010,1132,1135.5,1127.25,1133,0.75,+0.07%,1259921,2396493
01/05/2010,1128.5,1133,1125,1132.25,3.5,+0.31%,1378593,2402850
01/04/2010,1113.75,1129.75,1113.25,1128.75,18,+1.62%,1291254,2440458
12/31/2009,1121.75,1125.25,1109.75,1110.75,-11.25,-1.00%,638861,2392916
12/30/2009,1121.25,1122.5,1113,1122,0.25,+0.02%,596890,2393240
12/29/2009,1122.75,1128.5,1120.5,1121.75,-1.25,-0.11%,579344,2397986
12/28/2009,1120.5,1126.25,1117.5,1123,1,+0.09%,474293,2392937
12/24/2009,1115.25,1122.5,1114.75,1122,6.5,+0.58%,248984,2394340
12/23/2009,1113.75,1120,1111.25,1115.5,2,+0.18%,727761,2376350
12/22/2009,1107.75,1115.75,1107.25,1113.5,5.25,+0.47%,930910,2374664
12/21/2009,1098.75,1113.25,1096.5,1108.25,10.5,+0.96%,1163792,2359131
12/18/2009,1094.25,1102.75,1088.5,1097.75,3.5,+0.32%,1732758,2332548
12/17/2009,1105.25,1106.5,1090.75,1094.25,-11.5,-1.04%,2014202,2333026
12/16/2009,1103.75,1112,1103,1105.75,1.75,+0.16%,1666850,2277192
12/15/2009,1108.25,1111,1100.25,1104,-4.5,-0.41%,1804825,2112600
12/14/2009,1102.5,1113,1099.75,1108.5,5.25,+0.48%,1720435,1779529
"Downloaded from Barchart.com as of 07-23-2021 03:08pm CDT"
