Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
03/08/2018,2722.5,2740.5,2720,2739.25,16,+0.59%,1502808,2746347
03/07/2018,2700,2730.25,2681.25,2723.25,-0.75,-0.03%,1870360,3002645
03/06/2018,2719,2734.5,2710.25,2724,5.5,+0.20%,1450085,3079923
03/05/2018,2683.25,2727.75,2663.75,2718.5,28.25,+1.05%,1781823,3109807
03/02/2018,2678.75,2696,2647,2690.25,12,+0.45%,2171819,3143984
03/01/2018,2718.25,2731,2658.5,2678.25,-36.25,-1.34%,2818966,3135753
02/28/2018,2746.5,2762,2712,2714.5,-33,-1.20%,1876678,3117034
02/27/2018,2783.5,2789.75,2742,2747.5,-37,-1.33%,1717155,3165874
02/26/2018,2751.5,2786,2742.5,2784.5,35.75,+1.30%,1256268,3169192
02/23/2018,2712.75,2750.25,2710,2748.75,37.25,+1.37%,1290261,3168128
02/22/2018,2698.5,2731,2682,2711.5,12.75,+0.47%,1623017,3156159
02/21/2018,2714.5,2747.75,2693.5,2698.75,-15.25,-0.56%,1661308,3162459
02/20/2018,2734.5,2747.75,2705.75,2714,-21,-0.77%,1447502,3176441
02/16/2018,2734,2754.75,2722.25,2735,1,+0.04%,1738551,3172501
02/15/2018,2695.5,2736.75,2688.5,2734,37,+1.37%,1668909,3177219
02/14/2018,2662.5,2701.75,2627,2697,35.25,+1.32%,2087016,3165063
02/13/2018,2653.25,2667.5,2634.25,2661.75,6.5,+0.24%,1461104,3191989
02/12/2018,2628.25,2671.5,2620,2655.25,36.25,+1.38%,2170447,3217706
02/09/2018,2593.75,2637.75,2530.25,2619,25.5,+0.98%,3909443,3315698
02/08/2018,2664.75,2686.5,2577,2593.5,-74.75,-2.80%,3121915,3320006
02/07/2018,2685.5,2726.75,2660.5,2668.25,-26,-0.97%,2491133,3264285
02/06/2018,2624,2699.75,2529,2694.25,86.5,+3.32%,4806868,3294277
02/05/2018,2757,2763,2595.75,2607.75,-149,-5.40%,4009557,3323338
02/02/2018,2826.5,2831,2755.25,2756.75,-65.75,-2.33%,2532442,3297660
02/01/2018,2828.75,2837.25,2809.5,2822.5,-3.25,-0.12%,1646906,3311911
01/31/2018,2823.25,2839.75,2813,2825.75,1.25,+0.04%,1841227,3295548
01/30/2018,2853.25,2858,2818.5,2824.5,-29,-1.02%,2133815,3278038
01/29/2018,2874.25,2878.5,2851.5,2853.5,-21,-0.73%,1395078,3295318
01/26/2018,2842.25,2876,2841.25,2874.5,33.25,+1.17%,1286287,3331783
01/25/2018,2840,2853.75,2830.75,2841.25,0.25,+0.01%,1439217,3337061
01/24/2018,2837,2855.25,2825.5,2841,1.5,+0.05%,1885278,3349443
01/23/2018,2835.25,2844.75,2828.75,2839.5,4.25,+0.15%,1282163,3318612
01/22/2018,2804,2838.25,2802,2835.25,24.25,+0.86%,1179414,3312310
01/19/2018,2797,2815,2791.75,2811,14.75,+0.53%,1363990,3303322
01/18/2018,2803.25,2808,2793.75,2796.25,-7.5,-0.27%,1345331,3273650
01/17/2018,2782.75,2809.5,2779,2803.75,21.25,+0.76%,1541873,3250369
01/16/2018,2789.75,2808.5,2769.25,2782.5,-6.25,-0.22%,1981469,3246225
01/12/2018,2768.75,2790,2766.75,2788.75,19.25,+0.70%,1357120,3210339
01/11/2018,2750,2770.5,2747.75,2769.5,19,+0.69%,1045414,3198069
01/10/2018,2749.75,2752,2736.5,2750.5,-1.75,-0.06%,1289898,3203452
01/09/2018,2746.5,2760,2742.75,2752.25,5.5,+0.20%,1137598,3190900
01/08/2018,2741.75,2748.5,2736.5,2746.75,4.25,+0.15%,903544,3168055
01/05/2018,2725,2743.25,2723.75,2742.5,18.75,+0.69%,1136500,3144990
01/04/2018,2710.25,2729,2708.5,2723.75,12.75,+0.47%,1166017,3107934
01/03/2018,2693.75,2714.25,2692.25,2711,18,+0.67%,1114548,3064592
01/02/2018,2675.25,2696,2674.5,2693,17,+0.64%,996265,3017744
12/29/2017,2684.75,2698.25,2667.75,2676,-9.75,-0.36%,1092038,2989056
12/28/2017,2684,2689,2683,2685.75,0.25,+0.01%,535624,3013748
12/27/2017,2687.5,2691,2681.5,2685.5,-1.5,-0.06%,666329,3023788
12/26/2017,2686.75,2689.5,2683.5,2687,1,+0.04%,376101,3038366
12/22/2017,2686.75,2691.5,2682.25,2686,-1.75,-0.07%,654510,3035200
12/21/2017,2681.5,2696,2680.75,2687.75,6.25,+0.23%,853748,3007612
12/20/2017,2684.75,2695.5,2679,2681.5,-2.5,-0.09%,981223,2999594
12/19/2017,2695,2698,2682.5,2684,-10.5,-0.39%,980483,2969224
12/18/2017,2683,2698,2682.5,2694.5,12.5,+0.47%,1040769,2967731
12/15/2017,2652.75,2683.25,2652.5,2682,26,+0.98%,1410847,2928463
12/14/2017,2668.5,2673.5,2651.75,2656,-13,-0.49%,1467120,2940089
12/13/2017,2667.75,2675.5,2659.25,2669,1.25,+0.05%,1565803,2844874
12/12/2017,2666,2673,2663.25,2667.75,3.25,+0.12%,1659061,2527944
12/11/2017,2655,2667.75,2652.25,2664.5,10.5,+0.40%,1633120,2071077
"Downloaded from Barchart.com as of 07-23-2021 03:13pm CDT"
