Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
03/09/2017,2363.75,2369.25,2354,2366.25,2.25,+0.10%,1788548,2491566
03/08/2017,2365.75,2373,2359.5,2364,-2.5,-0.11%,1651698,2858334
03/07/2017,2371.25,2375.5,2364.5,2366.5,-9,-0.38%,1303962,2984987
03/06/2017,2380.25,2380.75,2367,2375.5,-5.75,-0.24%,1376883,3013897
03/03/2017,2379.75,2383.25,2373.75,2381.25,-0.75,-0.03%,1357594,3023373
03/02/2017,2392.25,2394.25,2378,2382,-11.5,-0.48%,1744834,3006952
03/01/2017,2364.5,2401,2363.25,2393.5,30.75,+1.30%,2171551,3017456
02/28/2017,2365.75,2368.75,2357.5,2362.75,-5.5,-0.23%,1610710,2997859
02/27/2017,2362.75,2370.75,2361,2368.25,3.25,+0.14%,1156575,3011470
02/24/2017,2361.5,2365.75,2349.5,2365,2.25,+0.10%,1551959,2993230
02/23/2017,2362,2367.5,2353,2362.75,1.75,+0.07%,1556359,2980360
02/22/2017,2360,2363.75,2355.25,2361,1,+0.04%,1301504,2968035
02/21/2017,2346.5,2365,2346,2360,12,+0.51%,1653551,2968353
02/17/2017,2345,2348.75,2336.5,2348,2.5,+0.11%,1399520,2959348
02/16/2017,2350.25,2350.75,2336.75,2345.5,-5,-0.21%,1737007,2986733
02/15/2017,2335.5,2351.5,2331.25,2350.5,13.5,+0.58%,1532340,2985535
02/14/2017,2326.5,2337.75,2319.75,2337,10.75,+0.46%,1390309,2959085
02/13/2017,2314.25,2329,2313.25,2326.25,13.5,+0.58%,1210205,2938992
02/10/2017,2304.25,2315.75,2303,2312.75,8.5,+0.37%,1177521,2903005
02/09/2017,2290.5,2307.75,2287.75,2304.25,14,+0.61%,1354847,2888499
02/08/2017,2285.75,2292,2281,2290.25,1.75,+0.08%,1283261,2882114
02/07/2017,2286.25,2295,2284,2288.5,2,+0.09%,1202059,2855102
02/06/2017,2293,2294.25,2283.5,2286.5,-4.5,-0.20%,1164914,2840033
02/03/2017,2274,2294,2270.5,2291,15.5,+0.68%,1415043,2831500
02/02/2017,2275,2279.75,2264.5,2275.5,1,+0.04%,1414426,2817455
02/01/2017,2277,2285,2268.25,2274.5,0,0.00%,1565006,2829202
01/31/2017,2275.75,2278.25,2262.25,2274.5,-1.5,-0.07%,1628810,2807756
01/30/2017,2282,2285.75,2263.25,2276,-13,-0.57%,1850992,2805447
01/27/2017,2294,2296.75,2287,2289,-5,-0.22%,942076,2819735
01/26/2017,2293.75,2299.5,2289.5,2294,0,0.00%,1170427,2835457
01/25/2017,2275.75,2295.25,2274.75,2294,19.5,+0.86%,1386477,2855527
01/24/2017,2260.75,2280.5,2259.5,2274.5,12.5,+0.55%,1273116,2847811
01/23/2017,2266,2267.5,2251.75,2262,-4,-0.18%,1474482,2821419
01/20/2017,2261,2272.75,2259.75,2266,4.5,+0.20%,1737181,2793940
01/19/2017,2265.5,2269.5,2253,2261.5,-5,-0.22%,1386240,2813697
01/18/2017,2262,2268.5,2258.25,2266.5,3.75,+0.17%,1111992,2790421
01/17/2017,2270.25,2270.5,2257.25,2262.75,-9.75,-0.43%,1540220,2791366
01/13/2017,2264.5,2273.5,2262.75,2272.5,9,+0.40%,1192660,2803386
01/12/2017,2270.5,2270.5,2248.5,2263.5,-7,-0.31%,1752976,2793398
01/11/2017,2263.75,2271.75,2255,2270.5,6.75,+0.30%,1733727,2812470
01/10/2017,2264.5,2274,2259.5,2263.75,-1.25,-0.06%,1304523,2813855
01/09/2017,2271.25,2275.25,2263.5,2265,-6.5,-0.29%,1025182,2814013
01/06/2017,2264.25,2277,2258.25,2271.5,7.25,+0.32%,1551007,2815455
01/05/2017,2264.5,2266,2254,2264.25,0,0.00%,1324035,2807328
01/04/2017,2252.75,2267.25,2251,2264.25,11.75,+0.52%,1404875,2804829
01/03/2017,2240.75,2259.5,2239.5,2252.5,16.25,+0.73%,1810351,2799661
12/30/2016,2246.25,2252.75,2228,2236.25,-8.75,-0.39%,1281987,2787056
12/29/2016,2245.5,2250,2239.5,2245,-0.25,-0.01%,913220,2752438
12/28/2016,2261.25,2267.5,2243.5,2245.25,-15.75,-0.70%,1000606,2758174
12/27/2016,2258.75,2269.5,2257.75,2261,1,+0.04%,498741,2744092
12/23/2016,2257.5,2261,2254.25,2260,1.25,+0.06%,396535,2755246
12/22/2016,2258.25,2261,2251.5,2258.75,-1.75,-0.08%,847626,2756335
12/21/2016,2267.25,2268,2258,2260.5,-6,-0.26%,667705,2735177
12/20/2016,2260.25,2269.5,2260,2266.5,6.5,+0.29%,814005,2748679
12/19/2016,2256,2263.75,2254,2260,4.75,+0.21%,928690,2732597
12/16/2016,2259.5,2264,2249.5,2255.25,-3.25,-0.14%,1415262,2726523
12/15/2016,2251.75,2267.75,2247.25,2258.5,6.5,+0.29%,1976782,2678369
12/14/2016,2268,2272.5,2243,2252,-15.75,-0.69%,2267763,2592645
12/13/2016,2250.25,2273,2247.75,2267.75,17.25,+0.77%,2325023,2245145
12/12/2016,2255.25,2264.75,2246.75,2250.5,-4.25,-0.19%,1973091,1706174
"Downloaded from Barchart.com as of 07-23-2021 03:13pm CDT"
