Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
03/12/2020,2738,2774,2442.5,2469,-271.25,-9.90%,4366577,3112678
03/11/2020,2859.5,2869.5,2702.75,2740.25,-125.5,-4.38%,2992894,3190717
03/10/2020,2733,2884.75,2695.25,2865.75,118,+4.29%,3423140,3133378
03/09/2020,2916,2916,2715,2747.75,-216.25,-7.30%,2672753,3172786
03/06/2020,3024.25,3037,2898,2964,-51.5,-1.71%,3163400,2992661
03/05/2020,3109.25,3113.75,2996.5,3015.5,-99.25,-3.19%,2807262,2863349
03/04/2020,2988.25,3129.5,2976.5,3114.75,117.75,+3.93%,2590464,2856309
03/03/2020,3077,3137,2973,2997,-68,-2.22%,3754363,2921342
03/02/2020,2900,3093.25,2889.25,3065,114,+3.86%,3689149,2964776
02/28/2020,2950,2996,2853.25,2951,-6,-0.20%,5715227,3013315
02/27/2020,3100.25,3117,2944.5,2957,-153.25,-4.93%,4734434,2864642
02/26/2020,3138,3182,3091,3110.25,-22.25,-0.71%,3889097,2762339
02/25/2020,3223,3259.5,3117.25,3132.5,-93.75,-2.91%,4375530,2749002
02/24/2020,3309,3312,3213.75,3226.25,-113,-3.38%,3636687,2743468
02/21/2020,3367,3369.25,3328,3339.25,-30,-0.89%,2293728,2747927
02/20/2020,3391.75,3397.5,3339.25,3369.25,-18,-0.53%,2073749,2768781
02/19/2020,3372,3393.75,3370.75,3387.25,18,+0.53%,1163426,2776245
02/18/2020,3382.25,3392.5,3355.25,3369.25,-11.75,-0.35%,1735931,2763914
02/14/2020,3379.5,3388.5,3365.25,3381,3.5,+0.10%,1334897,2732215
02/13/2020,3381.25,3384.75,3348.5,3377.5,-3,-0.09%,1772784,2751695
02/12/2020,3360.5,3381.5,3355.5,3380.5,23,+0.69%,1229231,2732274
02/11/2020,3351,3374.5,3349.25,3357.5,4.5,+0.13%,1486164,2714705
02/10/2020,3322.25,3353.5,3303.5,3353,27.5,+0.83%,1399815,2701377
02/07/2020,3349,3350,3320.75,3325.5,-19.75,-0.59%,1698940,2694926
02/06/2020,3337,3357.75,3332.5,3345.25,10.25,+0.31%,1462323,2703568
02/05/2020,3300.25,3338,3288.25,3335,35.5,+1.08%,2046111,2685462
02/04/2020,3244.25,3305.25,3236,3299.5,54,+1.66%,1698403,2639813
02/03/2020,3222.75,3267.25,3222,3245.5,21.5,+0.67%,1919477,2629999
01/31/2020,3292,3297.5,3212.75,3224,-65.75,-2.00%,3152069,2639311
01/30/2020,3271.5,3295.25,3239.75,3289.75,17.25,+0.53%,2421276,2700373
01/29/2020,3281.75,3292.75,3265.25,3272.5,-5.75,-0.18%,1665382,2692183
01/28/2020,3239.5,3285,3238.75,3278.25,38.75,+1.20%,1910878,2691839
01/27/2020,3269.75,3269.75,3233,3239.5,-54,-1.64%,2581636,2691157
01/24/2020,3326.5,3337,3280.5,3293.5,-32.5,-0.98%,2515168,2701039
01/23/2020,3317.25,3327,3301.25,3326,6.25,+0.19%,1717046,2731397
01/22/2020,3321.25,3337.5,3315.25,3319.75,0.25,+0.01%,1505107,2722920
01/21/2020,3325,3329.75,3307.25,3319.5,-5.5,-0.17%,1573187,2731204
01/17/2020,3316.75,3330.25,3316,3325,8.5,+0.26%,1312253,2710925
01/16/2020,3294.25,3318,3294,3316.5,22.75,+0.69%,1335246,2716639
01/15/2020,3287.75,3299,3277.75,3293.75,5.75,+0.17%,1468347,2695940
01/14/2020,3289.25,3296.75,3275.25,3288,-1.75,-0.05%,1694799,2669453
01/13/2020,3265.75,3291,3265.5,3289.75,25,+0.77%,1008998,2678798
01/10/2020,3275.5,3287,3260.75,3264.75,-11.25,-0.34%,1533121,2680594
01/09/2020,3261.25,3276.75,3257.75,3276,15.75,+0.48%,1297679,2719384
01/08/2020,3231.75,3267.75,3181,3260.25,25,+0.77%,2279138,2724061
01/07/2020,3243.5,3254.5,3226,3235.25,-8.25,-0.25%,1293494,2689622
01/06/2020,3220.25,3249.5,3208.75,3243.5,8,+0.25%,1502748,2688734
01/03/2020,3261,3263.5,3206.75,3235.5,-23.5,-0.72%,1755057,2699160
01/02/2020,3237,3261.75,3234.25,3259,28,+0.87%,1416241,2740796
12/31/2019,3223.25,3236.25,3213,3231,7.5,+0.23%,1157924,2707883
12/30/2019,3238.25,3244.25,3217.25,3223.5,-14,-0.43%,1124598,2721001
12/27/2019,3242,3254,3235.5,3237.5,-7,-0.22%,984389,2697727
12/26/2019,3227.5,3244.75,3227,3244.5,18.75,+0.58%,464639,2707699
12/24/2019,3228.25,3231.25,3222.5,3225.75,-1.5,-0.05%,297971,2705804
12/23/2019,3227,3234.25,3224.25,3227.25,1.5,+0.05%,665895,2710656
12/20/2019,3213.5,3229.5,3208.5,3225.75,14,+0.44%,1320006,2744187
12/19/2019,3199.5,3213.75,3194.5,3211.75,12.5,+0.39%,1137443,2736522
12/18/2019,3192.5,3203,3192,3199.25,3.75,+0.12%,1181642,2601472
12/17/2019,3196.5,3203.5,3192,3195.5,-3,-0.09%,1615320,2419349
12/16/2019,3179.5,3202.5,3177,3198.5,23.25,+0.73%,1973586,2015350
"Downloaded from Barchart.com as of 07-23-2021 03:14pm CDT"
