Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
03/07/2019,2770.5,2776.25,2738.5,2750,-21.5,-0.78%,1919820,2150551
03/06/2019,2786.5,2792.75,2768.5,2771.5,-20,-0.72%,1509846,2384998
03/05/2019,2790.5,2799,2783.25,2791.5,0,0.00%,1203448,2422694
03/04/2019,2814,2819.75,2767.5,2791.5,-13.5,-0.48%,1791972,2442313
03/01/2019,2785.25,2808.25,2783,2805,20.25,+0.73%,1265597,2510357
02/28/2019,2795.25,2795.75,2781.75,2784.75,-10.25,-0.37%,1360457,2531494
02/27/2019,2788,2797.25,2775,2795,3.5,+0.13%,1138855,2550763
02/26/2019,2795.75,2803.5,2783.25,2791.5,-5.5,-0.20%,1201641,2563644
02/25/2019,2799.5,2814,2794.5,2797,5.75,+0.21%,1256092,2536237
02/22/2019,2773.5,2795.5,2770.5,2791.25,17,+0.61%,1190834,2504698
02/21/2019,2787,2798,2764.25,2774.25,-12.75,-0.46%,1426061,2512525
02/20/2019,2777.75,2790.75,2773.25,2787,8.25,+0.30%,1284923,2489011
02/19/2019,2777,2787.5,2766,2778.75,1.75,+0.06%,1198092,2512167
02/15/2019,2741.25,2778.5,2729,2777,33.5,+1.22%,1518783,2510982
02/14/2019,2749.25,2763,2730.25,2743.5,-6,-0.22%,1679091,2528174
02/13/2019,2743.5,2762,2742.75,2749.5,4.75,+0.17%,1209879,2527128
02/12/2019,2707,2748,2705.5,2744.75,36.5,+1.35%,1307152,2539160
02/11/2019,2710.75,2721.5,2700.5,2708.25,2,+0.07%,1110070,2522343
02/08/2019,2702,2709,2680.75,2706.25,2.25,+0.08%,1579544,2525951
02/07/2019,2727,2729.25,2685.5,2704,-25.5,-0.93%,1921663,2537472
02/06/2019,2730.75,2736.5,2722.25,2729.5,-1.5,-0.05%,1196377,2553848
02/05/2019,2719.5,2737.75,2716.25,2731,9.75,+0.36%,1225737,2560529
02/04/2019,2699.25,2725,2697,2721.25,17,+0.63%,1024581,2550279
02/01/2019,2707.75,2716,2695.5,2704.25,-0.25,-0.01%,1469597,2548101
01/31/2019,2683.5,2713,2675.75,2704.5,22,+0.82%,1935195,2555080
01/30/2019,2648.5,2689.75,2636.25,2682.5,42.25,+1.60%,1564987,2606116
01/29/2019,2640.25,2650,2628.5,2640.25,-1.75,-0.07%,1261703,2618479
01/28/2019,2660,2663.5,2622.25,2642,-21.5,-0.81%,1408636,2605425
01/25/2019,2636.25,2672.5,2634.5,2663.5,29.5,+1.12%,1388741,2595674
01/24/2019,2635,2647.5,2626,2634,-4.25,-0.16%,1266714,2621690
01/23/2019,2630.75,2653.75,2612.5,2638.25,6.25,+0.24%,1576181,2627318
01/22/2019,2669.25,2673.5,2616.5,2632,-39.5,-1.48%,1880446,2608729
01/18/2019,2636.75,2677.75,2632.75,2671.5,36.25,+1.38%,1753852,2596181
01/17/2019,2614.5,2645.5,2596.5,2635.25,22,+0.84%,1508869,2598337
01/16/2019,2605.75,2626.25,2602.5,2613.25,7.75,+0.30%,1330329,2594020
01/15/2019,2581.5,2613.75,2580,2605.5,25,+0.97%,1532494,2596574
01/14/2019,2588.5,2592,2567.25,2580.5,-14.5,-0.56%,1199404,2612044
01/11/2019,2594,2597.75,2577,2595,1,+0.04%,1213026,2604676
01/10/2019,2580,2599.5,2560.5,2594,11.5,+0.45%,1534119,2580411
01/09/2019,2569.5,2596.75,2568.5,2582.5,10,+0.39%,1596941,2600873
01/08/2019,2553.25,2581.25,2547.5,2572.5,22,+0.86%,1664892,2596886
01/07/2019,2537.25,2567.5,2523.25,2550.5,19.25,+0.76%,1632131,2643289
01/04/2019,2451.75,2539.25,2438.5,2531.25,83.5,+3.41%,2350836,2634252
01/03/2019,2482.25,2493.5,2443.25,2447.75,-63.25,-2.52%,2257341,2702026
01/02/2019,2508,2521.25,2452.25,2511,5.75,+0.23%,1969697,2683349
12/31/2018,2495.5,2513,2482.75,2505.25,19.25,+0.77%,1414594,2671246
12/28/2018,2491.5,2523,2472.75,2486,-9,-0.36%,2011392,2695857
12/27/2018,2470.25,2498.75,2397,2495,24,+0.97%,2283892,2717807
12/26/2018,2348.5,2477.75,2313,2471,129.25,+5.52%,2015176,2763223
12/24/2018,2407.75,2434.5,2340.5,2341.75,-71.75,-2.97%,1292750,2790461
12/21/2018,2485,2508,2409.25,2413.5,-72.75,-2.93%,3016623,2685441
12/20/2018,2505,2518,2441.5,2486.25,-18.25,-0.73%,3686614,2596391
12/19/2018,2532,2592,2489.5,2504.5,-33.5,-1.32%,2865330,2437430
12/18/2018,2557.25,2577.75,2530,2538,-17.75,-0.69%,2700902,2250599
12/17/2018,2595.5,2616.75,2533.5,2555.75,-49.75,-1.91%,2958828,1758331
12/14/2018,2650,2652.75,2597.25,2605.5,-44,-1.66%,1989620,1111562
12/13/2018,2657.25,2675.25,2641.25,2649.5,-7,-0.26%,685685,684229
12/12/2018,2636.5,2690.5,2636,2656.5,11.25,+0.43%,181970,463037
12/11/2018,2648,2682,2625.5,2645.25,-1.75,-0.07%,107308,389714
12/10/2018,2629,2652,2586.75,2647,7,+0.27%,79695,372469
"Downloaded from Barchart.com as of 07-23-2021 03:14pm CDT"
