Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
03/13/2014,1868.75,1875,1841.5,1846.75,-21,-1.12%,2346907,2574695
03/12/2014,1864.75,1869,1853.75,1867.75,2.5,+0.13%,1666288,3000644
03/11/2014,1876.25,1882.25,1863,1865.25,-12,-0.64%,1609666,3050825
03/10/2014,1875.5,1878.75,1865.75,1877.25,-0.75,-0.04%,1167755,3080700
03/07/2014,1876.25,1887.5,1869.25,1878,1.75,+0.09%,1756169,3104782
03/06/2014,1873.75,1881,1871,1876.25,3.75,+0.20%,1283006,3146004
03/05/2014,1870.75,1875.5,1867.75,1872.5,1,+0.05%,1254803,3181131
03/04/2014,1843.75,1874.75,1843.5,1871.5,28.5,+1.55%,1750397,3183505
03/03/2014,1846,1849.5,1832.25,1843,-14.5,-0.78%,2376689,3165575
02/28/2014,1854.5,1866.5,1845.25,1857.5,3.5,+0.19%,2106508,3110444
02/27/2014,1843.75,1855.75,1832.75,1854,12,+0.65%,1615828,3122222
02/26/2014,1847.5,1853.25,1838,1842,-4.25,-0.23%,1464320,3111778
02/25/2014,1844.75,1851,1837.25,1846.25,0.25,+0.01%,1566204,3108523
02/24/2014,1835.25,1856.75,1829.25,1846,11.75,+0.64%,1612323,3131431
02/21/2014,1836,1844,1832.75,1834.25,-2,-0.11%,1316655,3158062
02/20/2014,1826,1840.25,1817.25,1836.25,10.75,+0.59%,1608588,3137291
02/19/2014,1837.25,1844.5,1823.25,1825.5,-12,-0.65%,1771087,3119786
02/18/2014,1833.5,1840.25,1831.5,1837.5,2.5,+0.14%,1210508,3091043
02/14/2014,1823.75,1838.75,1816,1835,10.75,+0.59%,1365228,3062413
02/13/2014,1816.75,1827,1802.25,1824.25,7.25,+0.40%,1645236,3053239
02/12/2014,1813.25,1823.25,1811.25,1817,3.5,+0.19%,1385941,3033223
02/11/2014,1795.25,1819.5,1794.25,1813.5,18.75,+1.04%,1764385,3016462
02/10/2014,1793,1796,1786.25,1794.75,1.25,+0.07%,1148560,2990620
02/07/2014,1768,1794,1758.25,1793.5,27,+1.53%,2344919,2981889
02/06/2014,1744.75,1769.75,1744,1766.5,22.5,+1.29%,1739245,2948744
02/05/2014,1744.25,1750.75,1732,1744,0.25,+0.01%,2075514,2948425
02/04/2014,1738.25,1753.5,1734,1743.75,11,+0.63%,2325416,2944236
02/03/2014,1777.5,1783.75,1732.25,1732.75,-43.75,-2.46%,3026524,2974534
01/31/2014,1783.5,1788.25,1761.25,1776.5,-4.75,-0.27%,2389820,2910899
01/30/2014,1770,1793.75,1767.75,1781.25,10,+0.56%,1824579,2882901
01/29/2014,1796,1801.25,1764,1771.25,-17,-0.95%,2740741,2915163
01/28/2014,1771.25,1797,1771,1788.25,12.5,+0.70%,1726338,2884678
01/27/2014,1781.75,1792,1767,1775.75,-6.25,-0.35%,2776036,2881669
01/24/2014,1824,1828,1780,1782,-42.25,-2.32%,2566321,2894357
01/23/2014,1839,1844,1813.75,1824.25,-14.25,-0.78%,1815516,2873168
01/22/2014,1837.5,1843.25,1834.75,1838.5,0,0.00%,941604,2848291
01/21/2014,1834,1844,1826.25,1838.5,4.25,+0.23%,1329662,2852205
01/17/2014,1838,1842.75,1829.25,1834.25,-2,-0.11%,1182782,2855526
01/16/2014,1841.5,1843.75,1834.5,1836.25,-5.25,-0.29%,952497,2878637
01/15/2014,1833,1845.75,1831.5,1841.5,8.5,+0.46%,1260095,2875586
01/14/2014,1815.75,1834.25,1812.75,1833,18,+0.99%,1595178,2868227
01/13/2014,1838.5,1838.75,1809.5,1815,-22.75,-1.24%,1710408,2842950
01/10/2014,1833.25,1842.5,1826.25,1837.75,4.75,+0.26%,1455887,2818929
01/09/2014,1831.75,1839,1824.25,1833,0.5,+0.03%,1324605,2794685
01/08/2014,1830.75,1834.75,1825.5,1832.5,1.75,+0.10%,1330414,2781053
01/07/2014,1819.75,1834.75,1819.5,1830.75,10,+0.55%,1162443,2775966
01/06/2014,1824,1832.5,1817.25,1820.75,-4.75,-0.26%,1369207,2766711
01/03/2014,1827.25,1833,1820.5,1825.5,-1,-0.05%,961601,2779107
01/02/2014,1837.75,1840.75,1821.75,1826.5,-14.5,-0.79%,1243227,2781562
12/31/2013,1835.5,1846.5,1834.25,1841,6.25,+0.34%,653055,2782880
12/30/2013,1836,1838.5,1833.5,1834.75,-1.75,-0.10%,581577,2754443
12/27/2013,1836.5,1840,1833.25,1836.5,0,0.00%,622702,2765187
12/26/2013,1830,1837.75,1829.75,1836.5,7.5,+0.41%,438937,2758851
12/24/2013,1822.75,1829.5,1820.5,1829,6.25,+0.34%,314408,2745200
12/23/2013,1817,1824.5,1816.75,1822.75,8.25,+0.45%,737153,2734782
12/20/2013,1802.5,1818,1802.5,1814.5,12.5,+0.69%,1356110,2720791
12/19/2013,1804,1806.75,1795,1802,-2.75,-0.15%,1516505,2658894
12/18/2013,1772,1806.75,1760.75,1804.75,31.75,+1.79%,2702375,2580060
12/17/2013,1778.25,1782.5,1770.25,1773,-7.25,-0.41%,1826251,2327433
12/16/2013,1768.5,1786.25,1754,1780.25,11.75,+0.66%,1793231,1895612
"Downloaded from Barchart.com as of 07-23-2021 03:11pm CDT"
