Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
09/08/2011,1193.75,1198,1176.25,1180,-13.25,-1.11%,1326103,831091
09/07/2011,1158.5,1194,1158.5,1193.25,34.5,+2.98%,246217,351035
09/06/2011,1161,1161,1130.5,1158.75,-4.75,-0.41%,62357,167635
09/02/2011,1195,1198.25,1163,1163.5,-32,-2.68%,33677,132810
09/01/2011,1212,1222,1195.25,1195.5,-16.5,-1.36%,28654,116603
08/31/2011,1199,1223.75,1195.75,1212,13,+1.08%,11650,106425
08/30/2011,1201.75,1213,1188,1199,-3.25,-0.27%,32222,101419
08/29/2011,1170.25,1202.75,1167.75,1202.25,32,+2.73%,8019,83569
08/26/2011,1151.25,1173.5,1126.75,1170.25,18.5,+1.61%,8080,81791
08/25/2011,1166,1183,1147.5,1151.75,-14.5,-1.24%,15620,77594
08/24/2011,1153.5,1170.75,1137.25,1166.25,13.25,+1.15%,17337,68753
08/23/2011,1116.5,1154.5,1113,1153,35.5,+3.18%,15933,65849
08/22/2011,1116,1140.5,1105.75,1117.5,-0.75,-0.07%,2732,63688
08/19/2011,1136.75,1147.75,1112,1118.25,-19.5,-1.71%,9630,62960
08/18/2011,1184.25,1184.25,1123,1137.75,-46.5,-3.93%,9103,60158
08/17/2011,1185.75,1200.5,1176.25,1184.25,-2.25,-0.19%,1453,58405
08/16/2011,1191.5,1195,1172.5,1186.5,-6.25,-0.52%,1927,59141
08/15/2011,1171.5,1195,1171.25,1192.75,21.75,+1.86%,2211,57921
08/12/2011,1170.5,1180.5,1141.25,1171,8.25,+0.71%,6887,56979
08/11/2011,1116.75,1177.75,1097.5,1162.75,45,+4.03%,7549,54590
08/10/2011,1166.25,1173,1108.75,1117.75,-48.25,-4.14%,9963,53178
08/09/2011,1106,1169.5,1072,1166,60.5,+5.47%,14195,48559
08/08/2011,1163.5,1182.75,1104,1105.5,-86.5,-7.26%,12242,45419
08/05/2011,1190,1213,1159,1192,-1,-0.08%,11683,42270
08/04/2011,1248.5,1258,1188,1193,-56,-4.48%,12883,34517
08/03/2011,1243,1252,1225,1249,7.25,+0.58%,4486,27916
08/02/2011,1273.75,1277.5,1241.25,1241.75,-32.25,-2.53%,1893,24952
08/01/2011,1295.25,1304,1265.25,1274,-8.75,-0.68%,1247,24392
07/29/2011,1293.25,1294,1273.75,1282.75,-8.5,-0.66%,3083,24434
07/28/2011,1295.25,1307,1290.25,1291.25,-2,-0.15%,1989,23158
07/27/2011,1320.5,1322.75,1293,1293.25,-27.25,-2.06%,2199,23276
07/26/2011,1328,1333.75,1320,1320.5,-7.5,-0.56%,1348,22969
07/25/2011,1326,1334.25,1316.5,1328,-7.5,-0.56%,3398,22812
07/22/2011,1336.25,1341.75,1327.5,1335.5,-1.5,-0.11%,3344,21242
07/21/2011,1316,1337,1310,1337,21.25,+1.62%,3280,15345
07/20/2011,1318.5,1324,1313.75,1315.75,0,0.00%,321,13182
07/19/2011,1296.5,1318.75,1295,1315.75,20.75,+1.60%,2153,13151
07/18/2011,1307.25,1308,1285.75,1295,-14.5,-1.11%,1404,13046
07/15/2011,1301.5,1309.5,1295.5,1309.5,8.25,+0.63%,1284,12734
07/14/2011,1304,1317.25,1297.25,1301.25,-5.5,-0.42%,1540,12282
07/13/2011,1305.5,1321.75,1302.25,1306.75,1.5,+0.11%,1312,11656
07/12/2011,1311.5,1316.5,1290.25,1305.25,-8,-0.61%,3106,11712
07/11/2011,1332,1332,1306.5,1313.25,-23.25,-1.74%,2088,10856
07/08/2011,1346,1348.75,1324,1336.5,-9.75,-0.72%,894,9803
07/07/2011,1331.25,1347,1331.25,1346.25,15.75,+1.18%,1117,9352
07/06/2011,1331,1335,1321.75,1330.5,-0.75,-0.06%,776,9141
07/05/2011,1328.5,1334,1323.5,1331.25,1.75,+0.13%,709,9102
07/01/2011,1308.75,1331.25,1307.5,1329.5,19.5,+1.49%,827,8999
06/30/2011,1298,1311.25,1297.25,1310,11,+0.85%,677,9028
06/29/2011,1288.5,1300,1286.5,1299,9.75,+0.76%,840,9058
06/28/2011,1272,1289.25,1266.5,1289.25,18.25,+1.44%,1166,8967
06/27/2011,1260,1274.5,1252,1271,12.5,+0.99%,1216,9144
06/24/2011,1272.5,1280,1256.25,1258.5,-13.25,-1.04%,2489,8771
06/23/2011,1274.25,1274.25,1252.25,1271.75,-2.75,-0.22%,2130,7947
06/22/2011,1283.25,1288,1274.5,1274.5,-8,-0.62%,729,6920
06/21/2011,1268,1287.25,1267.25,1282.5,14,+1.10%,303,6847
06/20/2011,1262,1269.5,1252.5,1268.5,8,+0.63%,382,6853
06/17/2011,1258.75,1270.75,1254.25,1260.5,2.25,+0.18%,319,6725
06/16/2011,1255.75,1262.5,1248.25,1258.25,3.75,+0.30%,914,6690
06/15/2011,1278,1278,1251.75,1254.5,-24.5,-1.92%,165,6006
06/14/2011,1266.5,1281.25,1266.5,1279,18.5,+1.47%,3186,7001
06/13/2011,1259.5,1265,1255,1260.5,2.25,+0.18%,953,5469
"Downloaded from Barchart.com as of 07-26-2021 07:42am CDT"
