Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
09/11/2001,1101.5,1101.5,1101.5,1101.5,0,0.00%,395,2488
09/10/2001,1087,1104.25,1072.75,1101.5,12.5,+1.15%,395,2496
09/07/2001,1112.25,1114,1051,1089,-20.5,-1.85%,0,0
09/06/2001,1138,1141.25,1109.5,1109.5,-30.5,-2.68%,418,820
09/05/2001,1136,1147.5,1121.25,1140,2.5,+0.22%,462,638
09/04/2001,1136.5,1164.5,1136.5,1137.5,-4,-0.35%,479,521
08/31/2001,1134.25,1149.5,1133,1141.5,6,+0.53%,90,300
08/30/2001,1157.75,1160,1132.5,1135.5,-23.5,-2.03%,180,276
08/29/2001,1178,1178,1155,1159,-11.25,-0.96%,61,204
08/28/2001,1186.25,1188.25,1169.25,1170.25,-17.25,-1.45%,78,196
08/27/2001,1192,1195,1187.5,1187.5,-7,-0.59%,28,174
08/24/2001,1166,1196,1166,1194.5,24.5,+2.09%,32,162
08/23/2001,1170,1179,1168,1170,-4,-0.34%,26,149
08/22/2001,1163.75,1177.25,1162,1174,11.25,+0.97%,58,138
08/21/2001,1185,1190,1162,1162.75,-19.75,-1.67%,74,125
08/20/2001,1172.75,1183,1170,1182.5,10.25,+0.87%,17,119
08/17/2001,1180.25,1192,1163,1172.25,-19.5,-1.64%,44,112
08/16/2001,1185,1191.75,1174.5,1191.75,4,+0.34%,20,96
08/15/2001,1192.5,1195,1186,1187.75,-11.5,-0.96%,6,88
08/14/2001,1204,1206.5,1199,1199.25,-0.25,-0.02%,0,0
08/13/2001,1198,1203,1196,1199.5,1.25,+0.10%,7,86
08/10/2001,1200.5,1205,1180.25,1198.25,3.5,+0.29%,25,90
08/09/2001,1191,1197,1184.25,1194.75,2.25,+0.19%,19,94
08/08/2001,1205,1215,1191,1192.5,-22.5,-1.85%,14,86
08/07/2001,1206,1220,1206,1215,4.75,+0.39%,9,83
08/06/2001,1215,1215,1210,1210.25,-17.25,-1.41%,5,79
08/03/2001,1224,1227.5,1218,1227.5,-6,-0.49%,2,74
08/02/2001,1234,1238.5,1231,1233.5,4.5,+0.37%,2,75
08/01/2001,1232,1236,1226.25,1229,6.25,+0.51%,8,75
07/31/2001,1223,1234,1222,1222.75,5.5,+0.45%,18,74
07/30/2001,1220,1222,1212,1217.25,0,0.00%,16,76
07/27/2001,1208.5,1220,1208.5,1217.25,4.25,+0.35%,5,88
07/26/2001,1200,1214,1198,1213,14,+1.17%,13,91
07/25/2001,1173.25,1202,1173.25,1199,13.5,+1.14%,33,88
07/24/2001,1199.5,1199.5,1174,1185.5,-14,-1.17%,22,64
07/23/2001,1213,1227,1199.5,1199.5,-23.25,-1.90%,3,54
07/20/2001,1225,1229.5,1216,1222.75,-8,-0.65%,6,56
07/19/2001,1229,1237.25,1220,1230.75,10.75,+0.88%,7,56
07/18/2001,1231,1231,1213.5,1220,-8.5,-0.69%,10,53
07/17/2001,1207.25,1228.5,1207.25,1228.5,10.25,+0.84%,9,44
07/16/2001,1224.5,1238,1213.5,1218.25,-15,-1.22%,11,43
07/13/2001,1222.25,1233.25,1200,1233.25,11,+0.90%,10,41
07/12/2001,1204.5,1224.25,1204.5,1222.25,29.25,+2.45%,10,32
07/11/2001,1194,1197,1181.5,1193,-1.25,-0.10%,16,33
07/10/2001,1181,1214,1181,1194.25,-14,-1.16%,11,26
07/09/2001,1203,1214,1196,1208.25,6.5,+0.54%,25,24
07/06/2001,1259,1259,1201.75,1201.75,-28.75,-2.34%,8,10
07/05/2001,1230.5,1232.5,1230.5,1230.5,-16.5,-1.32%,0,7
07/03/2001,1247,1254.25,1247,1247,-7.5,-0.60%,0,7
07/02/2001,1255,1255,1254.5,1254.5,14,+1.13%,0,0
06/29/2001,1240.5,1245,1240.5,1240.5,5,+0.40%,0,6
06/28/2001,1213,1244.75,1213,1235.5,8.5,+0.69%,4,6
06/27/2001,1227,1227,1227,1227,-1.5,-0.12%,0,4
06/26/2001,1228.5,1234.25,1221,1228.5,-3,-0.24%,0,3
06/25/2001,1258,1258,1231.5,1231.5,-11.5,-0.93%,4,3
06/22/2001,1250,1250,1243,1243,-8.25,-0.66%,1,2
06/21/2001,1251.25,1251.25,1251.25,1251.25,14,+1.13%,0,1
06/20/2001,1237.25,1237.25,1225.5,1237.25,5.25,+0.43%,0,1
06/19/2001,1237,1238,1226,1232,4,+0.33%,2,1
"Downloaded from Barchart.com as of 07-26-2021 07:36am CDT"
