Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
09/08/2016,2178,2182.75,2169.25,2171,-7,-0.32%,866144,826592
09/07/2016,2177.75,2180,2170.5,2178,0.5,+0.02%,180162,329514
09/06/2016,2172.25,2179.25,2166,2177.5,6.5,+0.30%,126499,212133
09/02/2016,2158.25,2176.5,2157.25,2171,10.75,+0.50%,32960,144894
09/01/2016,2161.5,2169.5,2148,2160.25,-2,-0.09%,28348,132239
08/31/2016,2168.25,2168.75,2152.5,2162.25,-5.75,-0.27%,27043,119667
08/30/2016,2171.5,2174,2161.5,2168,-4,-0.18%,19206,103107
08/29/2016,2159.75,2174.75,2157.5,2172,10.75,+0.50%,20294,89674
08/26/2016,2166.75,2179.5,2150.75,2161.25,-5.25,-0.24%,18323,75229
08/25/2016,2167.25,2170,2160.25,2166.5,-1.25,-0.06%,10111,67753
08/24/2016,2178,2180.5,2162,2167.75,-10.25,-0.47%,6698,65098
08/23/2016,2173.5,2184.25,2172.25,2178,3.75,+0.17%,7452,62182
08/22/2016,2174.5,2177,2166.5,2174.25,-0.25,-0.01%,5836,59564
08/19/2016,2175,2177,2165.5,2174.5,-1.75,-0.08%,4488,57261
08/18/2016,2174,2177,2168.75,2176.25,4,+0.18%,4598,56179
08/17/2016,2170.5,2174.5,2158.5,2172.25,3,+0.14%,9247,53704
08/16/2016,2178.75,2178.75,2168,2169.25,-9.25,-0.42%,4264,49242
08/15/2016,2173.25,2183.25,2173.25,2178.5,5.5,+0.25%,5088,48032
08/12/2016,2174.25,2176.75,2168.5,2173,-1.5,-0.07%,1790,47016
08/11/2016,2164.25,2177.75,2163,2174.5,9,+0.42%,4312,46767
08/10/2016,2169.5,2174.25,2160.75,2165.5,-4.75,-0.22%,5261,44875
08/09/2016,2169,2176.25,2166.5,2170.25,2.25,+0.10%,1845,42523
08/08/2016,2169,2175.25,2166,2168,-1.25,-0.06%,4345,42728
08/05/2016,2152.5,2170.75,2152.25,2169.25,17.5,+0.81%,2303,41145
08/04/2016,2149.5,2156.25,2146.25,2151.75,2.25,+0.10%,2415,40923
08/03/2016,2144.5,2150.5,2137.75,2149.5,4.5,+0.21%,3196,40288
08/02/2016,2158.25,2163,2134,2145,-11.75,-0.54%,9846,39058
08/01/2016,2164.75,2170,2152.5,2156.75,-3.75,-0.17%,4637,36316
07/29/2016,2159,2164.25,2150,2160.5,3.5,+0.16%,3283,35106
07/28/2016,2154,2160.5,2146,2157,4,+0.19%,5755,33740
07/27/2016,2156.75,2161.25,2143,2153,-2.5,-0.12%,7126,32794
07/26/2016,2155,2160,2146.25,2155.5,1,+0.05%,5136,28053
07/25/2016,2159.5,2164.25,2148.25,2154.5,-5,-0.23%,7197,25276
07/22/2016,2151.25,2161.25,2148.5,2159.5,9.5,+0.44%,1512,19312
07/21/2016,2159.75,2162,2145.75,2150,-9.5,-0.44%,1586,18957
07/20/2016,2151,2162,2147.25,2159.5,9,+0.42%,5744,18229
07/19/2016,2152.5,2152.5,2143.5,2150.5,-1.25,-0.06%,1302,15926
07/18/2016,2146,2154.75,2144.75,2151.75,7.25,+0.34%,1292,15232
07/15/2016,2146.25,2156,2135.5,2144.5,-4.5,-0.21%,2268,15020
07/14/2016,2135.5,2159.5,2135,2149,11.25,+0.53%,1887,14931
07/13/2016,2137,2144,2131.25,2137.75,0.25,+0.01%,2179,14539
07/12/2016,2122.5,2140.75,2120.5,2137.5,15.5,+0.73%,3840,13468
07/11/2016,2111.5,2128,2111.25,2122,10,+0.47%,2955,12879
07/08/2016,2083.25,2116.75,2079,2112,28.5,+1.37%,3711,12820
07/07/2016,2083.25,2093.25,2073.25,2083.5,-2,-0.10%,2859,12880
07/06/2016,2073,2085.75,2057.5,2085.5,11.5,+0.55%,4070,12911
07/05/2016,2089.5,2095.75,2064,2074,-13.75,-0.66%,2817,12811
07/01/2016,2077.25,2092,2073.5,2087.75,6,+0.29%,2892,12960
06/30/2016,2064,2082.5,2048,2081.75,23.75,+1.15%,3746,12219
06/29/2016,2018.75,2066,2014.5,2058,38.25,+1.89%,3191,12268
06/28/2016,1974.75,2021,1974.25,2019.75,43.5,+2.20%,2632,11778
06/27/2016,2006.25,2013.5,1972.25,1976.25,-34,-1.69%,4677,11473
06/24/2016,2107.5,2111.75,1991,2010.25,-87.75,-4.18%,10164,11436
06/23/2016,2074.75,2106.5,2074.75,2098,29,+1.40%,2602,12072
06/22/2016,2071,2083.5,2068,2069,-3.75,-0.18%,1512,11521
06/21/2016,2073,2078.25,2066.75,2072.75,6.25,+0.30%,1935,11559
06/20/2016,2062.25,2084.75,2062.25,2066.5,15.25,+0.74%,3405,10932
06/17/2016,2062,2066.5,2045.75,2051.25,-11.75,-0.57%,1799,9883
06/16/2016,2054.75,2063.75,2033.25,2063,7.25,+0.35%,1349,9861
06/15/2016,2058.75,2071.75,2052.5,2055.75,-2.5,-0.12%,922,9769
06/14/2016,2058.25,2064.75,2047.25,2058.25,-4,-0.19%,556,9761
06/13/2016,2073.75,2081.5,2059.25,2062.25,-17.75,-0.85%,423,9702
"Downloaded from Barchart.com as of 07-26-2021 07:45am CDT"
