Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
09/12/2019,3004.25,3023.5,3001,3013.75,10,+0.33%,514866,463048
09/11/2019,2980.75,3005.75,2973.75,3003.75,23.5,+0.79%,132485,261249
09/10/2019,2980.5,2986.25,2958.75,2980.25,0.5,+0.02%,93711,209453
09/09/2019,2981.75,2993,2971,2979.75,-2.5,-0.08%,50045,179085
09/06/2019,2972.25,2989.5,2972,2982.25,9,+0.30%,44606,162781
09/05/2019,2939.5,2987.75,2937.5,2973.25,33.75,+1.15%,47089,147554
09/04/2019,2903.75,2940.25,2902.75,2939.5,33,+1.14%,40782,140341
09/03/2019,2911.75,2927,2889.5,2906.5,-19,-0.65%,25089,118141
08/30/2019,2925,2947,2913.5,2925.5,-2,-0.07%,14430,112445
08/29/2019,2884.25,2931.5,2876,2927.5,37.25,+1.29%,19026,104319
08/28/2019,2866.5,2891,2852.5,2890.25,24.25,+0.85%,7964,91830
08/27/2019,2882,2900.25,2861,2866,-18,-0.62%,7220,88117
08/26/2019,2831.25,2888.75,2811,2884,28,+0.98%,15001,86579
08/23/2019,2921,2937.25,2834.25,2856,-67,-2.29%,13290,85318
08/22/2019,2931.75,2941.5,2905,2923,-7,-0.24%,7313,85907
08/21/2019,2895.75,2933.25,2894,2930,31.25,+1.08%,5882,85996
08/20/2019,2921.75,2932.75,2894.75,2898.75,-25.5,-0.87%,3189,83376
08/19/2019,2892.25,2932.75,2892.25,2924.25,32.5,+1.12%,9500,82644
08/16/2019,2851.75,2895,2849.75,2891.75,43.25,+1.52%,8190,78036
08/15/2019,2836,2871.75,2818.25,2848.5,7.5,+0.26%,16638,76326
08/14/2019,2931,2936,2836.5,2841,-91.75,-3.13%,13925,74877
08/13/2019,2883,2945,2867,2932.75,52.25,+1.81%,8778,70601
08/12/2019,2919.5,2931,2873.25,2880.5,-39.75,-1.36%,3816,68008
08/09/2019,2929.5,2936,2899.75,2920.25,-20.25,-0.69%,8980,67082
08/08/2019,2877.25,2943.75,2871,2940.5,60,+2.08%,12297,64805
08/07/2019,2875.75,2891,2823.5,2880.5,4,+0.14%,14085,61711
08/06/2019,2817.75,2884.5,2776.75,2876.5,46,+1.63%,11033,58193
08/05/2019,2931,2935,2821.25,2830.5,-103.5,-3.53%,21910,57349
08/02/2019,2953,2962.75,2915.25,2934,-20,-0.68%,12850,50789
08/01/2019,2973.75,3017,2946.75,2954,-31.25,-1.05%,16269,45698
07/31/2019,3019,3027.75,2961.5,2985.25,-29.75,-0.99%,3029,43890
07/30/2019,3025,3030,3004.5,3015,-9.75,-0.32%,2972,43632
07/29/2019,3028,3030,3018.5,3024.75,-2.75,-0.09%,2533,42504
07/26/2019,3010,3032.25,3008.5,3027.5,18,+0.60%,5949,41774
07/25/2019,3021.75,3030.5,3001,3009.5,-15,-0.50%,3203,41375
07/24/2019,3007,3024.75,2999.25,3024.5,13.5,+0.45%,4208,40461
07/23/2019,2991.75,3011.25,2990.75,3011,19.25,+0.64%,1595,37738
07/22/2019,2976.75,2996,2974,2991.75,12.25,+0.41%,6604,37450
07/19/2019,3009,3012,2972.5,2979.5,-20.5,-0.68%,9229,34806
07/18/2019,2984.5,3007.25,2977.25,3000,12.5,+0.42%,5042,34653
07/17/2019,3008,3015.25,2983.5,2987.5,-22,-0.73%,1651,32615
07/16/2019,3019.25,3023.75,3007,3009.5,-10.25,-0.34%,1030,32612
07/15/2019,3018.25,3026.25,3013.25,3019.75,2,+0.07%,964,32310
07/12/2019,3005.75,3020,3004.75,3017.75,11.75,+0.39%,3974,31977
07/11/2019,2998,3008.5,2994.75,3006,6.5,+0.22%,6159,30069
07/10/2019,2984.5,3009.25,2973.75,2999.5,15.5,+0.52%,6512,26709
07/09/2019,2979,2988,2965.5,2984,3.5,+0.12%,4031,25159
07/08/2019,2991.5,2996.25,2975,2980.5,-11.75,-0.39%,1748,23975
07/05/2019,3005,3006.25,2973.5,2992.25,-9.5,-0.32%,6506,23163
07/03/2019,2980.5,3002.75,2975.25,3001.75,20.75,+0.70%,2606,27806
07/02/2019,2968.75,2981,2959.75,2981,12,+0.40%,3216,28285
07/01/2019,2967.5,2982.75,2957,2969,24,+0.81%,5830,27881
06/28/2019,2936.5,2955.75,2931.5,2945,13,+0.44%,1490,27061
06/27/2019,2918,2936.5,2916.25,2932,13,+0.45%,2170,26748
06/26/2019,2924,2939.5,2915.75,2919,-3.75,-0.13%,2916,26035
06/25/2019,2952.75,2958.75,2921,2922.75,-30,-1.02%,2098,26175
06/24/2019,2948.75,2962.25,2948.5,2952.75,1.25,+0.04%,1667,25802
06/21/2019,2957.5,2969.75,2949,2951.5,-9,-0.30%,6169,24834
06/20/2019,2932,2964.5,2932,2960.5,26.25,+0.89%,1448,24338
06/19/2019,2929.75,2937.25,2917.5,2934.25,6.5,+0.22%,1499,23599
06/18/2019,2899.5,2937.5,2891.25,2927.75,30.25,+1.04%,954,22956
06/17/2019,2901,2905,2893.75,2897.5,1.5,+0.05%,2397,22851
"Downloaded from Barchart.com as of 07-26-2021 07:46am CDT"
