Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
09/13/2012,1431.5,1457.25,1428,1450.5,18,+1.26%,1355960,1159318
09/12/2012,1423.25,1433,1421.5,1432.5,9,+0.63%,288402,567719
09/11/2012,1419,1430.25,1414.5,1423.5,4,+0.28%,193840,346802
09/10/2012,1430,1431,1419.25,1419.5,-11.75,-0.82%,78916,192332
09/07/2012,1423.75,1431.75,1423.25,1431.25,7.25,+0.51%,29575,132145
09/06/2012,1397.25,1425,1396.75,1424,27.5,+1.97%,49186,116298
09/05/2012,1398.25,1400.75,1390.25,1396.5,-2.5,-0.18%,10143,87166
09/04/2012,1398.75,1402,1387.5,1399,1,+0.07%,28492,81223
08/31/2012,1389.75,1405,1388.75,1398,8,+0.58%,6807,57910
08/30/2012,1400,1401,1388.25,1390,-10,-0.71%,11702,56104
08/29/2012,1401,1405.25,1398,1400,-0.75,-0.05%,3076,49902
08/28/2012,1400.5,1405,1396.5,1400.75,-0.5,-0.04%,2019,47798
08/27/2012,1404,1408.75,1399.75,1401.25,-1.5,-0.11%,1179,46398
08/24/2012,1392.25,1404.75,1388,1402.75,9.75,+0.70%,1654,46028
08/23/2012,1405,1410.25,1391.25,1393,-12.25,-0.87%,1298,45295
08/22/2012,1405.25,1407,1397.5,1405.25,-0.25,-0.02%,9908,45312
08/21/2012,1408,1417.25,1401.5,1405.5,-2,-0.14%,2249,42634
08/20/2012,1410,1410.75,1402.75,1407.5,-0.75,-0.05%,3653,41268
08/17/2012,1406.75,1409.75,1403.75,1408.25,2.25,+0.16%,2348,38395
08/16/2012,1396.5,1408.5,1394.5,1406,9.5,+0.68%,2885,38634
08/15/2012,1393.5,1398.5,1390,1396.5,2,+0.14%,2578,36428
08/14/2012,1395,1402.25,1390.5,1394.5,-1,-0.07%,3705,36199
08/13/2012,1395,1396,1387.25,1395.5,0.25,+0.02%,4679,32520
08/10/2012,1393.25,1395.5,1385.75,1395.25,1.75,+0.13%,1391,28744
08/09/2012,1391.5,1396.75,1387.5,1393.5,2.5,+0.18%,610,27773
08/08/2012,1388.75,1392.75,1384,1391,1,+0.07%,1042,27698
08/07/2012,1382.25,1396,1381.25,1390,7.25,+0.52%,2376,27159
08/06/2012,1383.75,1388.5,1380.5,1382.75,0.75,+0.05%,2235,26086
08/03/2012,1354,1383,1353.25,1382,27.25,+2.01%,3566,24932
08/02/2012,1363,1376.25,1343,1354.75,-8.5,-0.62%,4126,23877
08/01/2012,1365.75,1373.75,1360.5,1363.25,-4.25,-0.31%,3884,23000
07/31/2012,1372.75,1378.75,1364.25,1367.5,-5.75,-0.42%,1631,22843
07/30/2012,1373.5,1380,1369.25,1373.25,-2.25,-0.16%,1889,22538
07/27/2012,1347.75,1377.5,1346.5,1375.5,27.75,+2.06%,2307,21281
07/26/2012,1326.75,1351.75,1321.25,1347.75,20,+1.51%,1715,20982
07/25/2012,1320,1332.25,1314.25,1327.75,5.25,+0.40%,1959,20437
07/24/2012,1335.5,1338.75,1317.5,1322.5,-14,-1.05%,1262,20108
07/23/2012,1349.5,1349.5,1325.5,1336.5,-14.75,-1.09%,1862,19933
07/20/2012,1364.5,1364.75,1350.25,1351.25,-13.75,-1.01%,1079,18700
07/19/2012,1360.5,1368.75,1359.75,1365,4.75,+0.35%,1447,18418
07/18/2012,1351,1363.25,1345.75,1360.25,8.75,+0.65%,2305,18228
07/17/2012,1340,1353.5,1333,1351.5,11,+0.82%,1996,18766
07/16/2012,1344.5,1345.5,1336.5,1340.5,-4.25,-0.32%,1393,18373
07/13/2012,1323,1346,1322,1344.75,22.75,+1.72%,2428,17682
07/12/2012,1330.5,1331.5,1313.25,1322,-7.25,-0.55%,3676,17109
07/11/2012,1329.25,1335,1321.5,1329.25,0.5,+0.04%,3669,16492
07/10/2012,1341.25,1349.75,1324.5,1328.75,-13.75,-1.02%,2419,15500
07/09/2012,1343,1343,1334.75,1342.5,-2.5,-0.19%,1183,15310
07/06/2012,1356,1356.25,1336.25,1345,-9.5,-0.70%,972,15062
07/05/2012,1362.5,1368,1349,1354.5,-6.75,-0.50%,1429,14968
07/03/2012,1350.75,1362,1348.75,1361.25,10.5,+0.78%,1358,14752
07/02/2012,1352,1355,1343.5,1350.75,1.25,+0.09%,1173,14868
06/29/2012,1314.75,1352.5,1309.75,1349.5,34,+2.58%,2442,14792
06/28/2012,1318.5,1321,1300.5,1315.5,-3,-0.23%,1786,15012
06/27/2012,1308,1321.5,1306.25,1318.5,10,+0.76%,1000,14565
06/26/2012,1300.5,1311,1297,1308.5,8.75,+0.67%,1713,14071
06/25/2012,1318.75,1318.75,1296,1299.75,-20.25,-1.53%,684,12816
06/22/2012,1312.25,1324,1311.75,1320,8.5,+0.65%,1454,12723
06/21/2012,1343.5,1345.25,1311,1311.5,-32.5,-2.42%,932,12304
06/20/2012,1342.75,1347.5,1332.25,1344,0,0.00%,1479,12526
06/19/2012,1335,1350.25,1330.75,1344,9.75,+0.73%,757,12489
06/18/2012,1339,1340.5,1321.25,1334.25,3.25,+0.24%,1403,12202
"Downloaded from Barchart.com as of 07-26-2021 07:42am CDT"
