Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
09/07/2017,2462.25,2467,2455.75,2464.75,1,+0.04%,699851,719665
09/06/2017,2458.25,2467.25,2454.75,2463.75,5.75,+0.23%,222057,332843
09/05/2017,2460.25,2469.5,2443.75,2458,-14.25,-0.58%,80772,196874
09/01/2017,2468.25,2477.75,2468.25,2472.25,4.25,+0.17%,25490,159180
08/31/2017,2453.25,2472.25,2453,2468,14.25,+0.58%,42085,147656
08/30/2017,2445,2457.75,2440.75,2453.75,8.75,+0.36%,18950,122290
08/29/2017,2433.25,2446.25,2419.25,2445,3.25,+0.13%,23059,117878
08/28/2017,2440.5,2447,2434.25,2441.75,1.25,+0.05%,16678,108841
08/25/2017,2441.75,2451.25,2435.25,2440.5,1.75,+0.07%,19054,100289
08/24/2017,2437.75,2446.75,2432.75,2438.75,-0.75,-0.03%,12409,99844
08/23/2017,2451,2452.5,2436.75,2439.5,-11.25,-0.46%,8364,94925
08/22/2017,2425.5,2452,2425.5,2450.75,24.75,+1.02%,14769,91338
08/21/2017,2426,2429.25,2414,2426,1.25,+0.05%,6392,82686
08/18/2017,2423,2437.25,2417.5,2424.75,-2.75,-0.11%,10613,82400
08/17/2017,2464,2466.25,2421.75,2427.5,-38,-1.54%,17861,80680
08/16/2017,2463.5,2472,2459.75,2465.5,3.75,+0.15%,5521,70568
08/15/2017,2462,2471,2458.25,2461.75,0.25,+0.01%,6270,68935
08/14/2017,2439.75,2464.5,2439.75,2461.5,23.25,+0.95%,8344,65333
08/11/2017,2432.75,2444.25,2428.25,2438.25,2.75,+0.11%,8920,63334
08/10/2017,2471,2471.75,2431,2435.5,-35.5,-1.44%,14455,59379
08/09/2017,2468.75,2472.5,2457.25,2471,0.25,+0.01%,8867,51581
08/08/2017,2475.25,2486.25,2465.25,2470.75,-4.75,-0.19%,8770,47104
08/07/2017,2470,2476.25,2470,2475.5,5.5,+0.22%,3155,43733
08/04/2017,2469,2475.5,2466,2470,0.25,+0.01%,3795,42524
08/03/2017,2470.75,2472.25,2464.25,2469.75,-1.75,-0.07%,5875,41467
08/02/2017,2473,2473.75,2461.25,2471.5,1.25,+0.05%,4273,38405
08/01/2017,2466,2475,2464.5,2470.25,4.25,+0.17%,2111,36238
07/31/2017,2467,2472.75,2463.5,2466,-2.25,-0.09%,1945,36329
07/28/2017,2468.5,2469.25,2459.25,2468.25,-1.75,-0.07%,3068,35397
07/27/2017,2472.5,2478.5,2455.25,2470,-1.5,-0.06%,3031,33521
07/26/2017,2472.25,2477.5,2470,2471.5,-0.75,-0.03%,4239,32649
07/25/2017,2465.25,2476.75,2464.25,2472.25,6,+0.24%,4731,31477
07/24/2017,2467.25,2468.25,2461.25,2466.25,-1,-0.04%,1460,28828
07/21/2017,2469.5,2473,2460.75,2467.25,-1.75,-0.07%,1259,28405
07/20/2017,2468.25,2474,2463.5,2469,-0.25,-0.01%,2394,28482
07/19/2017,2457,2470,2455.75,2469.25,13.75,+0.56%,1579,28293
07/18/2017,2456.75,2458.75,2445.75,2455.5,-1,-0.04%,1577,27889
07/17/2017,2451.75,2458,2448.75,2456.5,2.5,+0.10%,1711,27750
07/14/2017,2443.5,2458.75,2440,2454,10.5,+0.43%,2041,27027
07/13/2017,2438.25,2444.75,2437,2443.5,5.5,+0.23%,1452,26687
07/12/2017,2423.75,2441.5,2420.25,2438,15.75,+0.65%,2004,26304
07/11/2017,2421,2425.25,2408.5,2422.25,-0.25,-0.01%,2401,26277
07/10/2017,2421.75,2427.75,2417.5,2422.5,2,+0.08%,1419,25474
07/07/2017,2407.75,2422.75,2404,2420.5,14,+0.58%,2948,25377
07/06/2017,2426,2428.25,2403.5,2406.5,-19.5,-0.80%,3819,24043
07/05/2017,2422.75,2430,2417.5,2426,3,+0.12%,2246,22777
07/03/2017,2421.5,2434.5,2420.5,2423,4,+0.17%,949,22336
06/30/2017,2419.25,2427.75,2413.25,2419,1,+0.04%,2306,22309
06/29/2017,2440.75,2442.75,2400.75,2418,-18.5,-0.76%,6762,21511
06/28/2017,2415.75,2440.5,2412.25,2436.5,17.75,+0.73%,2723,17579
06/27/2017,2432.75,2435.25,2414.75,2418.75,-15.25,-0.63%,1264,16792
06/26/2017,2434.5,2445.5,2428.25,2434,1,+0.04%,1479,16626
06/23/2017,2431,2436.75,2426.5,2433,3.25,+0.13%,1567,16578
06/22/2017,2430,2436.75,2426.5,2429.75,-1.75,-0.07%,1261,16392
06/21/2017,2434.25,2437.5,2426,2431.5,-3.75,-0.15%,1466,16594
06/20/2017,2445.25,2448.25,2432,2435.25,-9.75,-0.40%,2318,16336
06/19/2017,2432,2448.75,2430.5,2445,16.5,+0.68%,1391,14970
06/16/2017,2429,2434.5,2418.25,2428.5,-1.25,-0.05%,572,14440
06/15/2017,2427.75,2430.5,2413.5,2429.75,-3,-0.12%,1665,14342
06/14/2017,2436.25,2441,2424,2432.75,-2.75,-0.11%,535,14621
06/13/2017,2424,2436.75,2423.25,2435.5,11.75,+0.48%,957,14507
06/12/2017,2424.75,2426,2415,2423.75,-2,-0.08%,173,13978
"Downloaded from Barchart.com as of 07-26-2021 07:45am CDT"
