Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
09/09/2004,1119,1122.25,1113.75,1118,-1.25,-0.11%,622370,264485
09/08/2004,1122.5,1124,1116.75,1119.25,-3.5,-0.31%,31769,129992
09/07/2004,1117.5,1125,1115,1122.75,7.75,+0.70%,23336,103802
09/03/2004,1115.5,1121.25,1113.5,1115,-5,-0.45%,12906,85818
09/02/2004,1105.75,1120.5,1105,1120,13,+1.17%,4832,75073
09/01/2004,1104.5,1110,1098.5,1107,2.5,+0.23%,14214,71310
08/31/2004,1099.75,1105.75,1094.75,1104.5,5.25,+0.48%,5594,67820
08/30/2004,1107.5,1108.25,1098.75,1099.25,-9.25,-0.83%,2502,64055
08/27/2004,1105,1110,1103.25,1108.5,3.75,+0.34%,654,61981
08/26/2004,1104,1107,1102,1104.75,0.5,+0.05%,3284,62345
08/25/2004,1098,1106.5,1093.25,1104.25,6.5,+0.59%,3651,59584
08/24/2004,1099.25,1101.25,1093,1097.75,1.25,+0.11%,3804,57520
08/23/2004,1101.5,1101.75,1094.75,1096.5,-2.5,-0.23%,1467,55344
08/20/2004,1091.5,1100.5,1087.5,1099,7.5,+0.69%,4455,55294
08/19/2004,1093.75,1095,1086.5,1091.5,-3.25,-0.30%,186,51222
08/18/2004,1084,1096,1078.5,1094.75,11.5,+1.06%,1976,51196
08/17/2004,1078,1086.75,1076,1083.25,5.75,+0.53%,403,50952
08/16/2004,1063.5,1080.5,1061.25,1077.5,11.25,+1.06%,4548,51028
08/13/2004,1054.5,1067.5,1054.5,1066.25,2.25,+0.21%,602,47619
08/12/2004,1075,1077,1060.5,1064,-12,-1.12%,543,47723
08/11/2004,1073.5,1077,1065.75,1076,-0.25,-0.02%,1410,48707
08/10/2004,1062.25,1078.5,1062.25,1076.25,12,+1.13%,289,48378
08/09/2004,1067.5,1068.75,1063,1064.25,0.75,+0.07%,164,48487
08/06/2004,1080,1082.75,1061,1063.5,-15.25,-1.41%,2302,48489
08/05/2004,1097.75,1098.75,1078,1078.75,-18.5,-1.69%,570,48079
08/04/2004,1094.5,1102.25,1091,1097.25,-0.5,-0.05%,626,47877
08/03/2004,1104.75,1105.5,1097.25,1097.75,-8.25,-0.75%,666,47830
08/02/2004,1098.5,1108.5,1096.25,1106,4.5,+0.41%,646,47733
07/30/2004,1101.25,1104,1096.75,1101.5,1,+0.09%,447,48017
07/29/2004,1097.25,1103.75,1093.5,1100.5,4.5,+0.41%,706,48144
07/28/2004,1093.75,1098.5,1081.75,1096,3,+0.27%,998,48021
07/27/2004,1086,1096,1084.5,1093,9.75,+0.90%,3233,47543
07/26/2004,1087,1089.5,1077.75,1083.25,-2.5,-0.23%,1175,45357
07/23/2004,1090.25,1093.5,1083,1085.75,-8.25,-0.75%,2076,45118
07/22/2004,1091,1099,1083.75,1094,3,+0.27%,1808,43825
07/21/2004,1112.25,1116,1090.25,1091,-21,-1.89%,41153,44108
07/20/2004,1097.5,1114.75,1097,1112,13.25,+1.21%,3114,11271
07/19/2004,1103.25,1105.75,1096,1098.75,-4.25,-0.39%,463,8657
07/16/2004,1109.5,1112.25,1100.75,1103,-0.5,-0.05%,178,8585
07/15/2004,1110,1114.75,1103.5,1103.5,-8,-0.72%,76,8566
07/14/2004,1110,1119.5,1107.25,1111.5,-3,-0.27%,309,8570
07/13/2004,1115.5,1115.75,1111.5,1114.5,1,+0.09%,22,8474
07/12/2004,1111.25,1116.25,1106.5,1113.5,0.5,+0.04%,412,8476
07/09/2004,1111.5,1115.25,1110.5,1113,2,+0.18%,153,8603
07/08/2004,1115,1119,1108.5,1111,-7.25,-0.65%,525,8601
07/07/2004,1116.25,1121.75,1114.25,1118.25,3,+0.27%,81,8424
07/06/2004,1126.75,1128.75,1113.25,1115.25,-10.75,-0.95%,160,8413
07/02/2004,1126.25,1129.5,1122.75,1126,-0.75,-0.07%,732,8399
07/01/2004,1143,1143.75,1123.25,1126.75,-14.25,-1.25%,7705,8087
06/30/2004,1137.75,1145,1134.25,1141,4.5,+0.40%,125,484
06/29/2004,1130,1138.75,1130,1136.5,4,+0.35%,112,450
06/28/2004,1141.25,1146,1132.25,1132.5,-3.5,-0.31%,304,414
06/25/2004,1142.5,1146.75,1134.5,1136,-6,-0.53%,247,187
06/24/2004,1143.75,1146.5,1140.5,1142,-2.75,-0.24%,65,140
06/23/2004,1133.75,1146,1132,1144.75,9.25,+0.81%,64,122
06/22/2004,1130,1136.25,1124.5,1135.5,5.5,+0.49%,142,120
06/21/2004,1136.5,1137.75,1129.5,1130,-4.75,-0.42%,228,99
"Downloaded from Barchart.com as of 07-26-2021 07:38am CDT"
