Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
09/13/2018,2892.5,2912,2889.75,2910.25,16.75,+0.58%,712160,667008
09/12/2018,2895.25,2900.25,2884.5,2893.5,-1,-0.03%,193206,298781
09/11/2018,2884.75,2897.75,2872.25,2894.5,9.5,+0.33%,101671,192932
09/10/2018,2877.5,2893,2877.5,2885,5.75,+0.20%,46383,137956
09/07/2018,2882.5,2889.75,2869.5,2879.25,-4.5,-0.16%,35526,120603
09/06/2018,2893.75,2897.75,2872.25,2883.75,-9.25,-0.32%,45894,105748
09/05/2018,2903.5,2905,2882.25,2893,-10,-0.34%,24339,93191
09/04/2018,2910.75,2916.75,2890,2903,-3.5,-0.12%,16638,90004
08/31/2018,2902.25,2911.5,2896.25,2906.5,0,0.00%,14861,84677
08/30/2018,2920,2921,2899.75,2906.5,-12.5,-0.43%,10147,81964
08/29/2018,2904.5,2921.75,2902.25,2919,15.5,+0.53%,9416,79001
08/28/2018,2902.5,2910.5,2898.75,2903.5,0.75,+0.03%,3829,78681
08/27/2018,2882,2903.75,2881.5,2902.75,21.75,+0.75%,10799,77884
08/24/2018,2862,2881.5,2860.75,2881,19,+0.66%,5943,75145
08/23/2018,2867.75,2873.75,2859,2862,-3.25,-0.11%,4349,72780
08/22/2018,2858,2872.25,2850.5,2865.25,-0.5,-0.02%,4833,70632
08/21/2018,2860.5,2877.75,2856.5,2865.75,3,+0.10%,4680,69673
08/20/2018,2857.25,2865,2854.5,2862.75,6.5,+0.23%,4606,67336
08/17/2018,2846.75,2861.25,2839.25,2856.25,7.5,+0.26%,2637,64721
08/16/2018,2826.5,2856,2821.5,2848.75,23.75,+0.84%,3720,63827
08/15/2018,2844.5,2846.5,2807,2825,-20,-0.70%,8314,62225
08/14/2018,2830.75,2847.25,2830.25,2845,15.5,+0.55%,3979,61964
08/13/2018,2840,2847.75,2823.75,2829.5,-11.25,-0.40%,2874,60613
08/10/2018,2856.25,2856.5,2830,2840.75,-17.25,-0.60%,3027,59815
08/09/2018,2858.5,2866.75,2855.25,2858,-1.5,-0.05%,1409,59670
08/08/2018,2863.75,2866.5,2856.75,2859.5,-4.5,-0.16%,1485,59026
08/07/2018,2853,2868,2852.75,2864,9.75,+0.34%,2906,58373
08/06/2018,2846.25,2857.25,2839,2854.25,10.5,+0.37%,1477,58477
08/03/2018,2833.5,2845.25,2829,2843.75,11.25,+0.40%,1427,58285
08/02/2018,2817.5,2835,2795.5,2832.5,17.5,+0.62%,10305,57745
08/01/2018,2827.75,2829.5,2810,2815,-6.25,-0.22%,2439,57015
07/31/2018,2808.5,2831.75,2807.25,2821.25,14,+0.50%,1686,57116
07/30/2018,2820.25,2825.25,2802.5,2807.25,-14.25,-0.51%,1736,57110
07/27/2018,2844.75,2851.25,2813,2821.5,-25,-0.88%,2077,56842
07/26/2018,2843,2850.25,2837.5,2846.5,1,+0.04%,3003,56329
07/25/2018,2821.5,2853.5,2818.25,2845.5,20.5,+0.73%,4924,54240
07/24/2018,2815.25,2835,2814.75,2825,9,+0.32%,1693,53465
07/23/2018,2808.25,2816,2796.75,2816,11.5,+0.41%,905,53232
07/20/2018,2809.25,2814,2797,2804.5,-4.75,-0.17%,926,53243
07/19/2018,2819,2821.5,2804.5,2809.25,-10.75,-0.38%,1594,53108
07/18/2018,2818,2822,2811.25,2820,4.75,+0.17%,1475,52763
07/17/2018,2797.75,2819.75,2793.5,2815.25,14.75,+0.53%,1882,52687
07/16/2018,2809,2813,2799,2800.5,-6.5,-0.23%,6796,52663
07/13/2018,2802,2810.5,2796.75,2807,4.75,+0.17%,1400,51465
07/12/2018,2780.5,2804.75,2778,2802.25,24.5,+0.88%,1879,51030
07/11/2018,2785.5,2791,2769.75,2777.75,-22.75,-0.81%,4523,51045
07/10/2018,2791,2801.5,2785,2800.5,9.25,+0.33%,2641,51213
07/09/2018,2765.5,2791.75,2765.5,2791.25,24.75,+0.89%,2128,50594
07/06/2018,2740,2770,2734.75,2766.5,24.25,+0.88%,1897,50914
07/05/2018,2716,2743,2714.75,2742.25,25.5,+0.94%,1345,50857
07/03/2018,2728.75,2744.5,2715.75,2716.75,-13.75,-0.50%,1134,50656
07/02/2018,2726.75,2731.25,2702.25,2730.5,5.5,+0.20%,3219,50709
06/29/2018,2725,2748.5,2720.25,2725,2.5,+0.09%,1897,50867
06/28/2018,2707.5,2729.25,2696.75,2722.5,14.5,+0.54%,8138,51198
06/27/2018,2730.25,2751.25,2704.5,2708,-24,-0.88%,4147,48920
06/26/2018,2726.5,2738.5,2718.25,2732,6.5,+0.24%,3872,47548
06/25/2018,2761,2761,2703.75,2725.5,-37.75,-1.37%,3755,46703
06/22/2018,2753,2772,2753,2763.25,7,+0.25%,925,46574
06/21/2018,2774.25,2788.75,2751,2756.25,-19.75,-0.71%,3421,46510
06/20/2018,2767,2782,2761.5,2776,6,+0.22%,1093,45030
06/19/2018,2783,2784.25,2740.5,2770,-14,-0.50%,4665,44981
06/18/2018,2783.75,2791,2765.5,2784,-5,-0.18%,1335,44548
"Downloaded from Barchart.com as of 07-26-2021 07:46am CDT"
