Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
09/10/2009,1028,1039.5,1023,1037.5,9.5,+0.92%,1510627,1076887
09/09/2009,1019.75,1031.75,1014.75,1028,7.25,+0.71%,358078,567994
09/08/2009,1010.25,1022.5,1008.25,1020.75,11.25,+1.11%,114337,277127
09/04/2009,997,1011.75,995.5,1009.5,12.25,+1.23%,46328,193195
09/03/2009,989.75,999.25,987,997.25,7.5,+0.76%,22614,163055
09/02/2009,992.25,996,986.5,989.75,-2.25,-0.23%,37573,149974
09/01/2009,1015.75,1023,991,992,-23.25,-2.29%,42551,121331
08/31/2009,1022,1026,1009,1015.25,-7.75,-0.76%,15374,96077
08/28/2009,1024.75,1034.25,1018,1023,-1.75,-0.17%,13196,83972
08/27/2009,1021.25,1028.25,1010.5,1024.75,2.5,+0.24%,18013,75345
08/26/2009,1021.5,1027,1015.75,1022.25,0.75,+0.07%,7774,59618
08/25/2009,1019.75,1034,1014,1021.5,1.5,+0.15%,7204,54600
08/24/2009,1020.5,1030.25,1017,1020,-0.5,-0.05%,7605,51217
08/21/2009,1000,1022,992.25,1020.5,20.5,+2.05%,4288,46352
08/20/2009,992,1003.25,990,1000,7.5,+0.76%,4580,44866
08/19/2009,983.75,994,972.5,992.5,7.5,+0.76%,4424,43498
08/18/2009,973.25,985.25,972,985,11.25,+1.16%,2409,41582
08/17/2009,1001.25,1001.25,971.25,973.75,-27.5,-2.75%,3187,40816
08/14/2009,1008.5,1010.75,988,1001.25,-7.75,-0.77%,5967,39877
08/13/2009,999.25,1010.5,993.75,1009,11.25,+1.13%,5798,38384
08/12/2009,987.75,1007,981.5,997.75,9.25,+0.94%,3946,33646
08/11/2009,1002.25,1006,985.75,988.5,-14.5,-1.45%,2311,30917
08/10/2009,1001,1003,994.25,1003,1,+0.10%,1139,30347
08/07/2009,989.75,1011.25,984.75,1002,11.5,+1.16%,2712,30075
08/06/2009,995.25,1003.75,985.75,990.5,-6,-0.60%,1667,29777
08/05/2009,999.75,1002,987.25,996.5,-3.75,-0.37%,1751,28973
08/04/2009,995.5,1000.5,988,1000.25,4,+0.40%,2234,28406
08/03/2009,981.75,996.5,978,996.25,16.25,+1.66%,2057,27343
07/31/2009,977.75,986,974.25,980,2.25,+0.23%,1518,26625
07/30/2009,970.5,989.25,969.75,977.75,7.25,+0.75%,1231,26027
07/29/2009,970,971.5,960,970.5,-1,-0.10%,2219,25627
07/28/2009,975.25,978.25,962,971.5,-4,-0.41%,1973,24561
07/27/2009,975,979.25,965,975.5,2,+0.21%,1344,24119
07/24/2009,963,974,958.5,973.5,9,+0.93%,1371,23537
07/23/2009,945.75,972.25,944.75,964.5,19.5,+2.06%,4199,23550
07/22/2009,947,952.25,939.5,945,-4,-0.42%,1710,20901
07/21/2009,942,951.5,935.5,949,4.5,+0.48%,1610,20632
07/20/2009,932.25,944.5,929.75,944.5,12,+1.29%,817,20037
07/17/2009,930.25,934,924,932.5,1.25,+0.13%,1780,20021
07/16/2009,920.25,936.25,917,931.25,8.5,+0.92%,1237,18897
07/15/2009,899.75,926.25,899.75,922.75,25.75,+2.87%,1234,18694
07/14/2009,891.75,899.25,888.5,897,5.75,+0.65%,979,18954
07/13/2009,871.5,893,861.5,891.25,21.5,+2.47%,4182,18968
07/10/2009,874,875.5,864.75,869.75,-4.75,-0.54%,2215,16070
07/09/2009,869.25,879.75,869.25,874.5,5.25,+0.60%,3236,14647
07/08/2009,874.75,878.75,861.25,869.25,-5.75,-0.66%,1922,12581
07/07/2009,891.25,893.75,871,875,-16,-1.80%,2336,11760
07/06/2009,886.25,892,877.75,891,2,+0.22%,1089,10156
07/02/2009,914.5,915.25,889,889,-26,-2.84%,1682,9566
07/01/2009,911,924,909.75,915,3.75,+0.41%,1070,8769
06/30/2009,917.25,921.75,904.5,911.25,-5.75,-0.63%,1568,8598
06/29/2009,908.5,920,903,917,7.25,+0.80%,934,8093
06/26/2009,912,914.5,904.5,909.75,-2.75,-0.30%,1199,7842
06/25/2009,893.25,913.25,886.5,912.5,18.75,+2.10%,3319,7717
06/24/2009,885.25,902.25,884.75,893.75,7.75,+0.87%,2346,6298
06/23/2009,883.75,890,880.5,886,1.5,+0.17%,1164,5267
06/22/2009,911.25,914.5,883.5,884.5,-27,-2.96%,3011,4841
06/19/2009,912,918.75,907,911.5,2.25,+0.25%,1197,2774
06/18/2009,905,912.75,896.25,909.25,8,+0.89%,71,2181
06/17/2009,902.75,914.75,897,901.25,-2.5,-0.28%,191,2152
06/16/2009,917,917,903.75,903.75,-11.5,-1.26%,8,2147
06/15/2009,929.5,932,914,915.25,-21.25,-2.27%,89,2146
"Downloaded from Barchart.com as of 07-26-2021 07:41am CDT"
